drug,similar_drug,similarity,drug_name,similar_name
DB00014,DB06825,0.617,Goserelin,Triptorelin
DB06825,DB00014,0.617,Triptorelin,Goserelin
DB00035,DB09059,0.602,Desmopressin,Atosiban
DB09059,DB00035,0.602,Atosiban,Desmopressin
DB00035,DB14642,0.764,Desmopressin,Lypressin
DB14642,DB00035,0.764,Lypressin,Desmopressin
DB00050,DB00106,0.724,Cetrorelix,Abarelix
DB00106,DB00050,0.724,Abarelix,Cetrorelix
DB00050,DB06699,0.695,Cetrorelix,Degarelix
DB06699,DB00050,0.695,Degarelix,Cetrorelix
DB00050,DB06785,0.797,Cetrorelix,Ganirelix
DB06785,DB00050,0.797,Ganirelix,Cetrorelix
DB00091,DB11693,0.864,Cyclosporine,Voclosporin
DB11693,DB00091,0.864,Voclosporin,Cyclosporine
DB00106,DB06699,0.686,Abarelix,Degarelix
DB06699,DB00106,0.686,Degarelix,Abarelix
DB00106,DB06785,0.713,Abarelix,Ganirelix
DB06785,DB00106,0.713,Ganirelix,Abarelix
DB00120,DB00135,0.704,Phenylalanine,Tyrosine
DB00135,DB00120,0.704,Tyrosine,Phenylalanine
DB00128,DB00174,0.65,Aspartic acid,Asparagine
DB00174,DB00128,0.65,Asparagine,Aspartic acid
DB00131,DB00157,0.629,Adenosine phosphate,NADH
DB00157,DB00131,0.629,NADH,Adenosine phosphate
DB00131,DB00194,0.686,Adenosine phosphate,Vidarabine
DB00194,DB00131,0.686,Vidarabine,Adenosine phosphate
DB00131,DB00640,0.686,Adenosine phosphate,Adenosine
DB00640,DB00131,0.686,Adenosine,Adenosine phosphate
DB00132,DB00159,0.852,alpha-Linolenic acid,Icosapent
DB00159,DB00132,0.852,Icosapent,alpha-Linolenic acid
DB00132,DB03756,0.714,alpha-Linolenic acid,Doconexent
DB03756,DB00132,0.714,Doconexent,alpha-Linolenic acid
DB00132,DB04224,0.69,alpha-Linolenic acid,Oleic Acid
DB04224,DB00132,0.69,Oleic Acid,alpha-Linolenic acid
DB00132,DB14104,0.793,alpha-Linolenic acid,Linoleic acid
DB14104,DB00132,0.793,Linoleic acid,alpha-Linolenic acid
DB00135,DB01235,0.645,Tyrosine,Levodopa
DB01235,DB00135,0.645,Levodopa,Tyrosine
DB00136,DB00146,0.794,Calcitriol,Calcifediol
DB00146,DB00136,0.794,Calcifediol,Calcitriol
DB00136,DB00169,0.642,Calcitriol,Cholecalciferol
DB00169,DB00136,0.642,Cholecalciferol,Calcitriol
DB00136,DB01436,0.82,Calcitriol,Alfacalcidol
DB01436,DB00136,0.82,Alfacalcidol,Calcitriol
DB00136,DB02300,0.638,Calcitriol,Calcipotriol
DB02300,DB00136,0.638,Calcipotriol,Calcitriol
DB00139,DB00548,0.615,Succinic acid,Azelaic acid
DB00548,DB00139,0.615,Azelaic acid,Succinic acid
DB00146,DB00153,0.636,Calcifediol,Ergocalciferol
DB00153,DB00146,0.636,Ergocalciferol,Calcifediol
DB00146,DB00169,0.817,Calcifediol,Cholecalciferol
DB00169,DB00146,0.817,Cholecalciferol,Calcifediol
DB00146,DB01436,0.642,Calcifediol,Alfacalcidol
DB01436,DB00146,0.642,Alfacalcidol,Calcifediol
DB00153,DB00169,0.667,Ergocalciferol,Cholecalciferol
DB00169,DB00153,0.667,Cholecalciferol,Ergocalciferol
DB00153,DB01070,0.712,Ergocalciferol,Dihydrotachysterol
DB01070,DB00153,0.712,Dihydrotachysterol,Ergocalciferol
DB00153,DB02300,0.612,Ergocalciferol,Calcipotriol
DB02300,DB00153,0.612,Calcipotriol,Ergocalciferol
DB00159,DB03756,0.769,Icosapent,Doconexent
DB03756,DB00159,0.769,Doconexent,Icosapent
DB00159,DB14104,0.667,Icosapent,Linoleic acid
