drug_id,disease
DB06704,neuroblastoma
DB06637,multiple sclerosis
DB06819,parkinson disease
DB00316,crohn disease
DB00819,glaucoma
DB06151,cystic fibrosis
DB06151,disseminated intravascular coagulation
DB06151,long qt syndrome
DB06151,neural tube defects
DB00459,psoriasis
DB00210,psoriasis
DB00640,asthma
DB01001,asthma
DB01001,coronary artery disease
DB00630,osteoporosis
DB00630,osteosarcoma
DB01436,graves disease
DB01436,osteoporosis
DB00437,gout
DB00915,huntington disease
DB00915,multiple sclerosis
DB00915,parkinson disease
DB00288,psoriasis
DB01143,cataract
DB00513,nephrotic syndrome
DB00855,psoriasis
DB01223,asthma
DB00233,tuberculosis
DB00381,atherosclerosis
DB00381,coronary artery disease
DB00613,malaria
DB00182,narcolepsy
DB11157,psoriasis
DB05630,leishmaniasis
DB00714,parkinson disease
DB00673,parkinson disease
DB00278,disseminated intravascular coagulation
DB01238,huntington disease
DB01238,hyperprolactinemia
DB01238,obsessive-compulsive disorder
DB01169,asthma
DB01169,burkitt lymphoma
DB01169,glioma
DB01169,idiopathic pulmonary fibrosis
DB01169,medulloblastoma
DB01169,multiple myeloma
DB01169,neuroblastoma
DB01169,osteosarcoma
DB06697,malaria
DB00126,cataract
DB00126,diabetic retinopathy
DB00126,glioma
DB00126,long qt syndrome
DB00126,retinitis pigmentosa
DB00945,atherosclerosis
DB00945,coronary artery disease
DB00945,diabetic retinopathy
DB00945,hypertriglyceridemia
DB00945,parkinson disease
DB00637,malaria
DB00637,parkinson disease
DB00335,coronary artery disease
DB00335,long qt syndrome
DB00335,marfan syndrome
DB01076,atherosclerosis
DB01076,coronary artery disease
DB01076,diabetic retinopathy
DB01076,hypertriglyceridemia
DB01076,nephrotic syndrome
DB00572,myasthenia gravis
DB00572,myopia
DB00928,multiple myeloma
DB00993,celiac disease
DB00993,crohn disease
DB00993,lupus nephritis
DB00993,multiple sclerosis
DB00993,myasthenia gravis
DB00993,psoriasis
DB00548,atherosclerosis
DB00548,psoriasis
DB00181,multiple sclerosis
DB00542,atherosclerosis
DB00542,nephrotic syndrome
DB04812,psoriasis
DB12783,parkinson disease
DB00245,parkinson disease
DB04115,osteoporosis
DB06698,atherosclerosis
DB06756,neural tube defects
DB00443,psoriasis
DB00195,glaucoma
DB01393,atherosclerosis
DB01393,coronary artery disease
DB01393,hypertriglyceridemia
DB00905,glaucoma
DB00810,parkinson disease
DB00188,glioma
DB00188,medulloblastoma
