DiseaseName,DiseaseID,DrugBankID,DrugName
Myocardial Infarction,MESH:D009203,DB00001,Lepirudin
Acute Coronary Syndrome,MESH:D054058,DB00001,Lepirudin
Thrombocytopenia,MESH:D013921,DB00001,Lepirudin
Infarction,MESH:D007238,DB00001,Lepirudin
Disease,MESH:D004194,DB00001,Lepirudin
Carcinoma,MESH:D002277,DB00002,Cetuximab
Disease,MESH:D004194,DB00002,Cetuximab
Fibrosis,MESH:D005355,DB00003,Dornase alfa
Cystic Fibrosis,MESH:D003550,DB00003,Dornase alfa
Lymphoma,MESH:D008223,DB00004,Denileukin diftitox
Psoriasis,MESH:D011565,DB00005,Etanercept
Arthritis,MESH:D001168,DB00005,Etanercept
Signs and Symptoms,MESH:D012816,DB00005,Etanercept
Acute Coronary Syndrome,MESH:D054058,DB00006,Bivalirudin
Thrombosis,MESH:D013927,DB00006,Bivalirudin
Thrombocytopenia,MESH:D013921,DB00006,Bivalirudin
Endometriosis,MESH:D004715,DB00007,Leuprolide
Leiomyoma,MESH:D007889,DB00007,Leuprolide
Inflammation,MESH:D007249,DB00008,Peginterferon alfa-2a
Hepatitis,MESH:D006505,DB00008,Peginterferon alfa-2a
Hepatitis B,MESH:D006509,DB00008,Peginterferon alfa-2a
Disease,MESH:D004194,DB00008,Peginterferon alfa-2a
Heart Failure,MESH:D006333,DB00009,Alteplase
Stroke,MESH:D020521,DB00009,Alteplase
Myocardial Infarction,MESH:D009203,DB00009,Alteplase
Ischemic Stroke,MESH:D000083242,DB00009,Alteplase
Pulmonary Embolism,MESH:D011655,DB00009,Alteplase
Infarction,MESH:D007238,DB00009,Alteplase
Embolism,MESH:D004617,DB00009,Alteplase
Weight Loss,MESH:D015431,DB00010,Sermorelin
Dwarfism,MESH:D004392,DB00010,Sermorelin
Anemia,MESH:D000740,DB00012,Darbepoetin alfa
Carcinoma,MESH:D002277,DB00014,Goserelin
Endometriosis,MESH:D004715,DB00014,Goserelin
Myocardial Infarction,MESH:D009203,DB00015,Reteplase
Infarction,MESH:D007238,DB00015,Reteplase
Anemia,MESH:D000740,DB00016,Erythropoietin
Disease,MESH:D004194,DB00016,Erythropoietin
Osteoporosis,MESH:D010024,DB00017,Salmon calcitonin
Hypercalcemia,MESH:D006934,DB00017,Salmon calcitonin
Disease,MESH:D004194,DB00017,Salmon calcitonin
Azotemia,MESH:D053099,DB00017,Salmon calcitonin
Neutropenia,MESH:D009503,DB00019,Pegfilgrastim
Melanoma,MESH:D008545,DB00022,Peginterferon alfa-2b
Leukemia,MESH:D007938,DB00023,Asparaginase Escherichia coli
Hemophilia A,MESH:D006467,DB00025,"Antihemophilic factor, human recombinant"
Pneumonia,MESH:D011014,DB00026,Anakinra
Necrosis,MESH:D009336,DB00026,Anakinra
Arthritis,MESH:D001168,DB00026,Anakinra
Disease,MESH:D004194,DB00026,Anakinra
Signs and Symptoms,MESH:D012816,DB00026,Anakinra
Infections,MESH:D007239,DB00027,Gramicidin D
Leukemia,MESH:D007938,DB00028,Human immunoglobulin G
Dermatomyositis,MESH:D003882,DB00028,Human immunoglobulin G
Infections,MESH:D007239,DB00028,Human immunoglobulin G
Myositis,MESH:D009220,DB00028,Human immunoglobulin G
Aneurysm,MESH:D000783,DB00028,Human immunoglobulin G
Bacterial Infections,MESH:D001424,DB00028,Human immunoglobulin G
Myocardial Infarction,MESH:D009203,DB00029,Anistreplase
Infarction,MESH:D007238,DB00029,Anistreplase
Diabetes Mellitus,MESH:D003920,DB00030,Insulin human
Myocardial Infarction,MESH:D009203,DB00031,Tenecteplase
Infarction,MESH:D007238,DB00031,Tenecteplase
Infertility,MESH:D007246,DB00032,Menotropins
Osteopetrosis,MESH:D010022,DB00033,Interferon gamma-1b
Disease,MESH:D004194,DB00033,Interferon gamma-1b
Hepatitis,MESH:D006505,DB00034,Interferon alfa-2a
Leukemia,MESH:D007938,DB00034,Interferon alfa-2a
