drugbank_id,disease,label
DB00753,obsessive-compulsive disorder,0
DB00834,osteoporosis-pseudoglioma syndrome,1
DB00254,q fever,1
DB11637,cystic fibrosis,0
DB00783,costello syndrome,1
DB00328,lupus nephritis,1
DB00220,obsessive-compulsive disorder,0
DB03255,cholangiocarcinoma,0
DB00273,prader-willi syndrome,1
DB11672,breast cancer,1
DB00806,leishmaniasis,1
DB09054,retinitis pigmentosa,0
DB01623,nephrotic syndrome,0
DB00252,neuroblastoma,1
DB00685,hypotrichosis,0
DB01194,hypertriglyceridemia,0
DB09281,cryptorchidism,0
DB13435,osteoporosis-pseudoglioma syndrome,0
DB01053,myopia,0
DB14487,hypotrichosis,0
DB15561,noonan syndrome,0
DB11558,sarcoidosis,0
DB01212,lymphangioleiomyomatosis,0
DB01656,hirschsprung disease,1
DB01340,crohn disease,1
DB00330,hypotrichosis,0
DB01104,obsessive-compulsive disorder,1
DB00184,osteoporosis-pseudoglioma syndrome,1
DB06479,intervertebral disc disease,0
DB00910,myopia,0
DB00370,osteoporosis-pseudoglioma syndrome,1
DB16394,huntington disease,0
DB01401,q fever,1
DB09290,crohn disease,0
DB00454,burkitt lymphoma,1
DB11938,crohn disease,0
DB02703,atypical hemolytic uremic syndrome,0
DB09107,q fever,0
DB15444,crohn disease,0
DB01064,osteoporosis,0
DB00401,nephrotic syndrome,0
DB01296,holoprosencephaly,0
DB00381,malaria,0
DB13954,narcolepsy,0
DB01076,hypotrichosis,0
DB16226,obsessive-compulsive disorder,0
DB00854,fanconi anemia,0
DB00441,neuroblastoma,0
DB14644,long qt syndrome,0
DB00512,tuberculosis,0
DB04831,frontotemporal lobar degeneration,0
DB13762,frontotemporal lobar degeneration,0
DB00805,osteosarcoma,0
DB16004,osteoporosis,1
DB00136,burkitt lymphoma,1
DB00649,fanconi anemia,1
DB00313,neuroblastoma,1
DB01224,psoriasis,0
DB09153,cataract,0
DB00563,cholangiocarcinoma,1
DB00564,mitochondrial complex iii deficiency,1
DB00544,coronary artery disease,1
DB00307,long qt syndrome,0
DB08822,barrett esophagus,0
DB00305,cholangiocarcinoma,1
DB06774,retinitis pigmentosa,0
DB01169,glioma,1
DB00296,retinitis pigmentosa,0
DB09074,q fever,0
DB01545,vitiligo,0
DB01240,hypotrichosis,0
DB00588,hirschsprung disease,0
DB00065,cataract,0
DB01119,marfan syndrome,0
DB00928,retinitis pigmentosa,0
DB09290,narcolepsy,0
DB15718,psoriasis,0
DB01018,crohn disease,1
DB06710,barrett esophagus,0
DB00622,coronary artery disease,1
DB11563,idiopathic pulmonary fibrosis,0
DB12978,leishmaniasis,0
DB00654,glioma,0
DB06439,prader-willi syndrome,1
DB01248,rhabdomyosarcoma,1
DB08910,common variable immunodeficiency,0
DB11135,crohn disease,0
DB02362,gout,0
DB00411,psoriasis,0
DB09290,prader-willi syndrome,1
DB04743,common variable immunodeficiency,0
DB11964,neuroblastoma,0
DB09244,diabetic retinopathy,0
DB06228,idiopathic pulmonary fibrosis,1
DB05295,cryptorchidism,0
DB00376,rhabdomyosarcoma,1
DB00572,hypoplastic left heart syndrome,1
DB00091,multiple myeloma,1
DB12872,crohn disease,1
DB00996,frontotemporal lobar degeneration,1
DB01142,mitochondrial complex iii deficiency,0
DB09033,hypospadias,0
DB01119,tuberculosis,0
DB00218,long qt syndrome,1
DB00860,atypical hemolytic uremic syndrome,1
DB01132,common variable immunodeficiency,0
DB00794,multiple myeloma,0
DB00894,multiple sclerosis,0
DB00675,hyperprolactinemia,0
DB00570,multiple sclerosis,0
DB01397,vitiligo,0
DB11124,retinitis pigmentosa,0
DB11136,noonan syndrome,0
DB01223,osteoporosis-pseudoglioma syndrome,0
DB11569,sarcoidosis,0
DB01436,graves disease,1
DB11783,hyperprolactinemia,0
DB00837,costello syndrome,0
DB01408,cataract,0
DB00642,vitiligo,0
DB00150,atypical hemolytic uremic syndrome,0
DB00196,cholangiocarcinoma,0
DB05295,nephrotic syndrome,0
DB00288,intervertebral disc disease,0
DB06786,osteoporosis-pseudoglioma syndrome,0
DB01079,cholangiocarcinoma,0
DB01211,narcolepsy,0
DB05076,diabetic retinopathy,0
DB08897,marfan syndrome,0
DB00764,burkitt lymphoma,1
DB01138,neuroblastoma,0
DB00290,prader-willi syndrome,0
DB05154,intervertebral disc disease,0
DB00316,breast cancer,0
DB00546,disseminated intravascular coagulation,0
DB08881,medulloblastoma,0
DB12243,vitiligo,0
DB00381,celiac disease,0
DB12553,burkitt lymphoma,1
DB00091,breast cancer,1
DB13928,parkinson disease,0
DB00967,multiple myeloma,0
DB00389,frontotemporal lobar degeneration,0
DB09220,cystic fibrosis,1
DB14644,asthma,0
DB09462,burkitt lymphoma,0
DB01103,vitiligo,0
DB01008,neuroblastoma,1
DB11596,marfan syndrome,0
DB14183,celiac disease,0
DB14004,rhabdomyosarcoma,0
DB05351,lupus nephritis,0
DB11581,sarcoidosis,0
DB11119,neural tube defects,0
DB01021,marfan syndrome,0
DB01282,intervertebral disc disease,0
DB00067,crohn disease,1
DB11750,psoriasis,1
DB00421,nephrotic syndrome,0
DB09302,glaucoma,0
DB01623,lymphangioleiomyomatosis,0
DB01162,parkinson disease,1
DB00184,narcolepsy,0
DB00773,disseminated intravascular coagulation,0
DB00656,costello syndrome,1
DB02362,intervertebral disc disease,1
DB02638,gout,1
DB11642,multiple sclerosis,0
DB15561,hirschsprung disease,1
DB11348,osteoporosis-pseudoglioma syndrome,0
DB04854,celiac disease,0
DB01224,crohn disease,0
DB01132,intervertebral disc disease,0
DB00051,cholangiocarcinoma,0
DB09072,narcolepsy,1
DB04878,asthma,0
DB00873,narcolepsy,0
DB06643,glaucoma,0
DB09082,rhabdomyosarcoma,0
DB11828,narcolepsy,0
DB13954,costello syndrome,1
DB00489,huntington disease,0
DB00051,asthma,1
DB09031,barrett esophagus,0
DB00153,mitochondrial complex iii deficiency,1
DB13853,coronary artery disease,0
DB06168,hypoplastic left heart syndrome,0
DB00331,idiopathic pulmonary fibrosis,1
DB11089,meningioma,0
DB00435,leishmaniasis,1
DB00366,noonan syndrome,0
DB01544,hypospadias,0
DB00438,glaucoma,0
DB01440,fanconi anemia,0
DB06612,narcolepsy,0
DB00908,coronary artery disease,1
DB01188,tuberculosis,0
DB05232,lymphangioleiomyomatosis,0
DB06691,atherosclerosis,0
DB00970,neuroblastoma,1
DB00583,huntington disease,0
DB00578,retinitis pigmentosa,0
DB00571,osteoporosis,1
DB01236,q fever,0
DB09280,neural tube defects,0
DB00006,neural tube defects,0
DB01388,intervertebral disc disease,0
DB00776,malaria,0
DB15305,neuroblastoma,0
DB01042,neural tube defects,0
DB12548,multiple sclerosis,0
DB00618,lymphangioleiomyomatosis,0
DB00564,diabetic retinopathy,0
DB11580,fanconi anemia,0
DB00293,cataract,0
DB00389,osteosarcoma,0
DB00362,holoprosencephaly,0
DB11699,cystic fibrosis,1
DB06708,medulloblastoma,0
DB00604,common variable immunodeficiency,0
DB00168,fanconi anemia,0
DB01104,burkitt lymphoma,0
DB01033,cholangiocarcinoma,0
DB04880,neuroblastoma,0
DB11595,costello syndrome,0
