PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa05200,Pathways in cancer - Homo sapiens (human),155,ADCY2;ADCY5;AGT;AGTR1;AKT1;ALK;APC;BBC3;BCL2;BCL2L1;BIRC2;BIRC3;BMP2;BMP4;BRAF;BRCA2;CASP3;CASP7;CBL;CCND1;CCNE1;CDK6;CDKN2A;CDKN2B;COL4A1;COL4A2;CRKL;CTNNA2;CTNNA3;CTNNB1;CXCL12;CXCL8;EDN1;EDNRB;EGFR;EPO;ERBB2;ESR1;ESR2;ETS1;F2;FAS;FASLG;FGF2;FGF8;FGFR1;FGFR2;FGFR3;FN1;FZD4;GLI2;GLI3;GNA13;GNAS;GNB3;GSTA4;GSTM1;GSTP1;GSTT1;HES1;HEY2;HGF;HHIP;HIF1A;HMOX1;HRAS;IFNA2;IFNG;IGF1;IGF1R;IGF2;IL12A;IL12B;IL13;IL15;IL2;IL23A;IL23R;IL2RA;IL4;IL4R;IL5;IL6;IL6R;IL7;IL7R;JAG1;JAG2;JAK1;JUN;KRAS;LAMA2;LAMB1;LAMC1;LPAR6;LRP5;MAP2K1;MAP2K2;MET;MMP1;MMP2;MMP9;MYC;NFE2L2;NFKB1;NFKB2;NFKBIA;NOS2;NOTCH1;NQO1;NRAS;NTRK1;PDGFRA;PIK3R1;PPARG;PRKACA;PRKACB;PTCH1;PTCH2;PTEN;PTGS2;RAF1;RASSF1;RASSF5;RB1;RELA;RET;SHH;SKP2;SMAD2;SMAD3;SMAD4;SMO;SOS1;STAT1;STAT3;STAT4;SUFU;TCF7;TERT;TGFA;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53;TRAF1;TRAF6;VEGFA;VEGFD;VHL;WNT1;WNT11;WNT5A,21;22;28;29;37;43;61;103;106;107;114;115;118;119;122;123;145;146;149;161;162;189;192;193;243;244;262;281;282;283;287;289;343;345;348;359;362;366;367;370;373;388;389;404;405;406;407;408;414;426;451;452;453;454;455;473;474;475;476;500;501;503;505;508;522;529;553;555;562;563;564;572;573;574;575;582;584;585;586;589;590;591;592;593;594;595;611;612;613;616;638;644;645;646;665;670;687;688;701;713;716;718;740;767;768;769;770;780;782;792;795;799;837;863;887;897;898;917;918;919;921;937;939;940;941;948;950;1012;1020;1049;1050;1051;1057;1068;1079;1080;1081;1085;1105;1109;1115;1116;1117;1118;1119;1120;1162;1168;1170;1217;1218;1219;1229;1230;1231
hsa01100,Metabolic pathways - Homo sapiens (human),143,A4GALT;ABO;ADCY2;ADCY5;AKR1B1;AKR1D1;ALAD;ALDH2;ALDH3A1;ALOX15;ALOX5;ALPL;ARG1;ARG2;ASAH2;ATIC;B3GALT6;B3GAT3;B3GNT2;B4GALT7;BHMT;BST1;CA2;CAT;CHKB;COMT;CYC1;CYP19A1;CYP1A1;CYP1A2;CYP24A1;CYP26A1;CYP27A1;CYP2E1;CYP2S1;CYP3A4;DBH;DDC;DGKE;DGKK;DHCR24;DHFR;DNMT1;DNMT3A;DSE;EHMT1;ENO1;ENO2;EZH2;FBP1;FTCD;FUT2;G6PD;GAD1;GAD2;GALK1;GAPDH;GBA1;GGCX;GPD2;GPX1;GPX4;GSTA4;GSTM1;GSTP1;GSTT1;GUCY1A1;GUCY2D;HMGCR;HMOX1;HNMT;HSD11B2;HSD17B4;HSD3B2;IDH1;IDH2;IDH3B;IMPDH1;IP6K2;KL;KMT2C;LRAT;LSS;LTA4H;MAOA;MAOB;MAT2A;MGLL;MTHFD1;MTHFR;NAT1;NAT2;NDUFS3;NMNAT1;NOS1;NOS2;NOS3;NQO1;NT5E;OXCT1;P4HA1;PAFAH1B1;PC;PCK1;PDE4B;PDE4D;PDE6A;PDE6B;PDE6G;PGLS;PIK3CG;PKM;PLA2G2A;PLA2G7;PLOD1;PLOD2;PLOD3;PLPP3;PNP;PRDM16;PTEN;PTGS2;RDH12;RDH5;RPE65;RRM1;SGMS2;SIRT1;SLC33A1;TALDO1;TH;TPI1;TPO;UGT1A4;UPB1;UQCRB;UQCRC2;UQCRQ;VNN1;VNN2;XDH;XYLT1;XYLT2,1;10;21;22;35;36;38;41;42;45;46;49;71;72;78;86;95;96;97;98;113;128;135;147;211;250;292;293;294;295;296;297;298;300;301;302;304;307;315;316;317;318;325;326;333;350;355;356;372;392;421;424;427;429;430;432;433;438;446;461;465;466;473;474;475;476;479;480;520;522;524;531;532;533;546;547;548;596;600;635;637;667;673;675;684;685;692;705;731;732;747;748;759;775;779;780;781;792;798;806;812;814;824;827;831;832;833;834;835;855;862;867;868;869;874;875;876;877;882;893;919;921;945;946;965;974;1009;1015;1034;1093;1123;1164;1166;1196;1199;1202;1203;1204;1221;1222;1235;1237;1238
hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human),96,AKT1;AREG;BCL2;BCL2L1;BDNF;CCND1;CCNE1;CD19;CDK6;COL1A1;COL1A2;COL2A1;COL4A1;COL4A2;COL9A1;COL9A2;COL9A3;CREB3L1;CSF3;DDIT4;EGFR;EPHA2;EPO;ERBB2;FASLG;FGF2;FGF8;FGFR1;FGFR2;FGFR3;FN1;GDNF;GNB3;HGF;HRAS;IFNA2;IFNB1;IGF1;IGF1R;IGF2;IL2;IL2RA;IL4;IL4R;IL6;IL6R;IL7;IL7R;INS;INSR;IRS1;JAK1;KRAS;LAMA2;LAMB1;LAMC1;LPAR6;MAP2K1;MAP2K2;MCL1;MET;MYB;MYC;NFKB1;NGF;NOS3;NRAS;NTRK1;NTRK2;PCK1;PDGFD;PDGFRA;PIK3CG;PIK3R1;PPP2CA;PRL;PRLR;PTEN;RAF1;RELA;RET;SOS1;SPP1;TCL1B;TGFA;THBS1;THBS2;TLR4;TNC;TNXB;TP53;TSC1;TSC2;VEGFA;VEGFD;VTN,37;70;106;107;110;161;162;170;189;239;240;241;243;244;247;248;249;260;274;308;348;357;359;362;389;404;405;406;407;408;414;443;455;503;529;553;554;562;563;564;582;586;589;590;592;593;594;595;597;599;606;613;638;644;645;646;665;687;688;696;701;738;740;768;771;781;795;799;800;827;836;837;862;863;891;901;902;919;937;948;950;1068;1075;1106;1115;1125;1126;1134;1140;1158;1162;1180;1181;1217;1218;1224
hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human),89,ACVR1;BMP2;BMP4;BMP6;CCL11;CCL2;CCL20;CCL3;CCL4;CCL5;CCR4;CCR6;CCR7;CD4;CD40;CD40LG;CSF2;CSF3;CXCL10;CXCL11;CXCL12;CXCL14;CXCL8;CXCL9;EPO;FAS;FASLG;GDF15;IFNA2;IFNB1;IFNG;IFNL3;IFNLR1;IL10;IL10RA;IL12A;IL12B;IL13;IL15;IL17A;IL18;IL1A;IL1B;IL1RL1;IL1RN;IL2;IL21;IL23A;IL23R;IL2RA;IL33;IL36RN;IL4;IL4R;IL5;IL6;IL6R;IL7;IL7R;LEP;LIFR;LTA;LTBR;MPL;NGF;NODAL;PRL;PRLR;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TNF;TNFRSF11B;TNFRSF13B;TNFRSF13C;TNFRSF14;TNFRSF18;TNFRSF1A;TNFRSF8;TNFRSF9;TNFSF10;TNFSF11;TNFSF14;TNFSF15;TNFSF4;TNFSF8;TSLP,16;118;119;120;154;155;156;157;158;159;164;165;166;174;175;176;273;274;285;286;287;288;289;290;359;388;389;442;553;554;555;556;557;570;571;572;573;574;575;576;577;578;579;580;581;582;583;584;585;586;587;588;589;590;591;592;593;594;595;652;654;674;678;721;771;778;901;902;1116;1117;1118;1119;1120;1141;1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1184
hsa05165,Human papillomavirus infection - Homo sapiens (human),77,AKT1;APC;ATM;CASP3;CCND1;CCNE1;CDK6;COL1A1;COL1A2;COL2A1;COL4A1;COL4A2;COL9A1;COL9A2;COL9A3;CREB3L1;CTNNB1;EGFR;FAS;FASLG;FN1;FZD4;GNAS;HES1;HEY2;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;IFNA2;IFNB1;ISG15;JAG1;JAK1;KRAS;LAMA2;LAMB1;LAMC1;MAP2K1;MAP2K2;MX1;NFKB1;NOTCH1;NRAS;PIK3R1;PKM;PPP2CA;PRKACA;PRKACB;PTEN;PTGS2;RAF1;RB1;RBPJ;RELA;SOS1;SPP1;STAT1;TCF7;TERT;THBS1;THBS2;TNC;TNF;TNFRSF1A;TNXB;TP53;TSC1;TSC2;TYK2;UBE3A;VEGFA;VTN;WNT1;WNT11;WNT5A,37;61;87;145;161;162;189;239;240;241;243;244;247;248;249;260;283;348;388;389;414;426;454;500;501;510;511;512;519;529;553;554;609;611;613;638;644;645;646;687;688;737;768;782;795;863;867;891;897;898;919;921;937;941;943;948;1068;1075;1079;1105;1109;1125;1126;1140;1141;1148;1158;1162;1180;1181;1192;1195;1217;1224;1229;1230;1231
hsa04010,MAPK signaling pathway - Homo sapiens (human),72,AKT1;AREG;BDNF;BRAF;CASP3;CD14;CRKL;EGFR;EPHA2;ERBB2;FAS;FASLG;FGF2;FGF8;FGFR1;FGFR2;FGFR3;FLNA;GDNF;HGF;HRAS;HSPA1A;HSPA1B;HSPB1;IGF1;IGF1R;IGF2;IL1A;IL1B;INS;INSR;IRAK1;JUN;KRAS;MAP2K1;MAP2K2;MAP3K5;MAP3K7;MAPT;MET;MRAS;MYC;NF1;NFKB1;NFKB2;NGF;NRAS;NTRK1;NTRK2;PDGFD;PDGFRA;PRKACA;PRKACB;RAF1;RASGRF1;RELA;RET;SOS1;STMN1;TAB2;TGFA;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TNF;TNFRSF1A;TP53;TRAF6;VEGFA;VEGFD,37;70;110;122;145;169;262;348;357;362;388;389;404;405;406;407;408;412;443;503;529;534;535;537;562;563;564;578;579;597;599;602;616;638;687;688;689;690;691;701;723;740;765;768;769;771;795;799;800;836;837;897;898;937;938;948;950;1068;1082;1089;1115;1116;1117;1118;1119;1120;1141;1148;1162;1170;1217;1218
hsa05417,Lipid and atherosclerosis - Homo sapiens (human),70,ABCA1;AGER;AKT1;APOA1;APOA4;APOB;ATF6;BCL2;BCL2L1;CASP1;CASP3;CASP7;CCL2;CCL3;CCL5;CD14;CD36;CD40;CD40LG;CXCL8;CYBA;CYP1A1;EIF2S1;ERN1;FAS;FASLG;HRAS;HSPA1A;HSPA1B;ICAM1;IFNA2;IFNB1;IL12A;IL12B;IL18;IL1B;IL6;IRAK1;JUN;KRAS;LDLR;MAP3K5;MAP3K7;MMP1;MMP3;MMP9;NCF4;NFE2L2;NFKB1;NFKBIA;NLRP3;NOS3;NRAS;PIK3R1;PPARG;RELA;SELE;SOD2;STAT3;TAB2;TIRAP;TLR4;TNF;TNFRSF1A;TNFSF10;TP53;TRAF6;VAV1;VCAM1;XBP1,2;27;37;63;64;66;83;106;107;144;145;146;155;157;159;169;173;175;176;289;291;294;351;365;388;389;529;534;535;542;553;554;572;573;577;579;592;602;616;638;651;689;690;713;717;718;752;767;768;770;774;781;795;863;887;948;999;1066;1080;1089;1132;1134;1141;1148;1151;1162;1170;1212;1213;1234
hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),69,AGER;APC;ATF6;BCL2;BCL2L1;BDNF;BRAF;C9ORF72;CAPN2;CASP3;CASP7;CAT;CHMP2B;CHRM3;CTNNB1;CYC1;DCTN4;DNAH5;EIF2S1;ERN1;FAS;FASLG;FZD4;GPX1;GRIA4;HRAS;HTT;IL1A;IL1B;IL6;KIF5B;KRAS;LRP5;LRRK2;MAP2K1;MAP2K2;MAP3K5;MAPT;NDUFS3;NFKB1;NOS1;NOS2;NRAS;PARK7;PINK1;PRKN;PRNP;PSMA2;PSMA5;PSMD14;PTGS2;RAF1;RELA;SIGMAR1;SLC6A3;SNCA;SOD1;TARDBP;TNF;TNFRSF1A;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ;WNT1;WNT11;WNT5A;XBP1,27;61;83;106;107;110;122;134;138;145;146;147;212;213;283;292;305;323;351;365;388;389;426;465;468;529;540;578;579;592;634;638;670;672;687;688;689;691;759;768;779;780;795;817;864;900;904;910;911;912;921;937;948;1014;1043;1059;1065;1095;1141;1148;1188;1189;1202;1203;1204;1229;1230;1231;1234
hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human),65,ADCY2;ADCY5;AKT1;ATM;BCL2L1;CCND1;CCNE1;CD4;CD40;CDKN2A;CDKN2B;CHEK2;CREB3L1;CSF2;ETS1;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;HRAS;ICAM1;IL15;IL2;IL2RA;IL6;JAK1;JUN;KRAS;LTA;LTBR;MAP2K1;MAP2K2;MYC;NFKB1;NFKB2;NFKBIA;NRAS;PIK3R1;PRKACA;PRKACB;PTEN;PTTG1;RB1;RELA;SMAD2;SMAD3;SMAD4;TCF3;TERT;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TLN1;TNF;TNFRSF13C;TNFRSF1A;TP53,21;22;37;87;107;161;162;174;175;192;193;209;260;273;370;510;511;512;513;514;515;516;517;518;519;529;542;575;582;586;592;613;616;638;674;678;687;688;740;768;769;770;795;863;897;898;919;929;941;948;1049;1050;1051;1104;1109;1116;1117;1118;1119;1120;1133;1141;1145;1148;1162
hsa05205,Proteoglycans in cancer - Homo sapiens (human),64,ACTG1;AKT1;BRAF;CASP3;CBL;CCND1;CD44;COL1A1;COL1A2;CTNNB1;CTSL;EGFR;ERBB2;ESR1;FAS;FASLG;FGF2;FGFR1;FLNA;FN1;FZD4;HGF;HIF1A;HRAS;IGF1;IGF1R;IGF2;IL12B;KRAS;MAP2K1;MAP2K2;MET;MMP2;MMP9;MRAS;MYC;NRAS;PIK3R1;PLAU;PRKACA;PRKACB;PTCH1;PTPN11;RAF1;SHH;SLC9A1;SMAD2;SMO;SOS1;STAT3;TGFB1;TGFB2;THBS1;TIMP3;TLR4;TNF;TP53;TWIST1;VAV1;VEGFA;VTN;WNT1;WNT11;WNT5A,15;37;122;145;149;161;177;239;240;283;284;348;362;366;388;389;404;406;412;414;426;503;508;529;562;563;564;573;638;687;688;701;716;718;723;740;795;863;871;897;898;917;925;937;1012;1045;1049;1057;1068;1080;1116;1117;1125;1130;1134;1141;1162;1190;1212;1217;1224;1229;1230;1231
