DiseaseName_norm,DrugBankID,Source
atherosclerosis,DB01599,gene_target
zellwegersyndrome,DB06716,gene_target
gout,DB00795,gene_target
celiacdisease,DB00178,gene_target
celiacdisease,DB00492,gene_target
celiacdisease,DB00519,gene_target
celiacdisease,DB00542,gene_target
celiacdisease,DB00584,gene_target
celiacdisease,DB00691,gene_target
celiacdisease,DB00722,gene_target
celiacdisease,DB00790,gene_target
celiacdisease,DB00881,gene_target
celiacdisease,DB00999,gene_target
celiacdisease,DB01089,gene_target
celiacdisease,DB01180,gene_target
celiacdisease,DB01197,gene_target
celiacdisease,DB01340,gene_target
celiacdisease,DB01348,gene_target
celiacdisease,DB09477,gene_target
celiacdisease,DB13166,gene_target
diabeticretinopathy,DB09019,gene_target
malaria,DB00608,gene_target
diabeticretinopathy,DB00177,gene_target
diabeticretinopathy,DB00275,gene_target
diabeticretinopathy,DB00678,gene_target
diabeticretinopathy,DB00796,gene_target
diabeticretinopathy,DB00876,gene_target
diabeticretinopathy,DB00966,gene_target
diabeticretinopathy,DB01029,gene_target
diabeticretinopathy,DB08822,gene_target
diabeticretinopathy,DB12548,gene_target
atherosclerosis,DB06083,gene_target
cataract,DB00605,gene_target
cataract,DB04272,gene_target
hemochromatosis,DB00548,gene_target
hypertriglyceridemia,DB12218,gene_target
meningioma,DB12218,gene_target
meningioma,DB00855,gene_target
nephroticsyndrome,DB00743,gene_target
nephroticsyndrome,DB03585,gene_target
nephroticsyndrome,DB04711,gene_target
nephroticsyndrome,DB06705,gene_target
nephroticsyndrome,DB13967,gene_target
neuroblastoma,DB08865,gene_target
neuroblastoma,DB09063,gene_target
neuroblastoma,DB11363,gene_target
neuroblastoma,DB11986,gene_target
neuroblastoma,DB12130,gene_target
neuroblastoma,DB12141,gene_target
neuroblastoma,DB12267,gene_target
atherosclerosis,DB00179,gene_target
atherosclerosis,DB00244,gene_target
atherosclerosis,DB00711,gene_target
atherosclerosis,DB00744,gene_target
atherosclerosis,DB00795,gene_target
atherosclerosis,DB00939,gene_target
atherosclerosis,DB01014,gene_target
osteoporosis-pseudogliomasyndrome,DB00848,gene_target
osteoporosis,DB00591,gene_target
osteoporosis,DB00563,gene_target
osteoporosis,DB00642,gene_target
glioma,DB00390,gene_target
glioma,DB01396,gene_target
glioma,DB09020,gene_target
cataract,DB01159,gene_target
cataract,DB01189,gene_target
cataract,DB01236,gene_target
hypertriglyceridemia,DB00382,gene_target
