Gene1,Gene2
CFTR,SCNN1B
CFTR,SCNN1G
CFTR,ABCG2
CFTR,SCNN1A
CFTR,HDAC6
KCNQ1,SCN5A
KCNQ1,KCNJ4
KCNQ1,KCNH2
HMOX1,CASP3
HMOX1,GAPDH
HMOX1,NQO1
HMOX1,BCL2
HMOX1,NOS3
HMOX1,TNF
HMOX1,IL1B
HMOX1,JUN
HMOX1,NFE2L2
HMOX1,STAT3
HMOX1,NOS2
HMOX1,AKT1
HMOX1,PTGS2
HMOX1,TLR4
HMOX1,PPARG
PROCR,PROC
PROCR,ICAM1
PROCR,SERPINC1
PROCR,F2
PLAT,ANXA2
PLAT,SERPINC1
PLAT,MMP9
TGFB1,STAT3
TGFB1,JUN
TGFB1,ALK
TGFB1,ICAM1
TGFB1,NFKB1
TGFB1,CASP3
TGFB1,GAPDH
TGFB1,MET
TGFB1,CD44
TGFB1,REN
TGFB1,IL1B
TGFB1,TNF
TGFB1,TLR4
TGFB1,PDGFRA
TGFB1,PPARG
TGFB1,FGF2
TGFB1,ALB
TGFB1,MMP9
TGFB1,AKT1
TGFB1,EGFR
TGFB1,CXCL8
SLC5A5,TPO
NFKB1,RAF1
NFKB1,TNF
NFKB1,IL1B
NFKB1,CASP3
NFKB1,CDK4
NFKB1,PARP1
NFKB1,ICAM1
NFKB1,STAT3
NFKB1,CXCL8
NFKB1,MMP9
NFKB1,TLR9
NFKB1,AKT1
NFKB1,EGFR
NFKB1,TIRAP
NFKB1,PPARG
NFKB1,REL
NFKB1,ESR1
NFKB1,GAPDH
NFKB1,BCL2
NFKB1,TGFB1
NFKB1,JUN
NFKB1,RELA
NFKB1,MAP2K1
NFKB1,TNFSF11
NFKB1,NFKB2
NFKB1,KRAS
NFKB1,ERBB2
NFKB1,PTGS2
NFKB1,NOD2
NFKB1,TLR4
CCND1,BRAF
CCND1,AKT1
CCND1,EGFR
CCND1,MMP9
CCND1,MAP2K1
CCND1,ERBB2
CCND1,KRAS
CCND1,CDK4
CCND1,PARP1
CCND1,CDK6
CCND1,BCL2
CCND1,GAPDH
CCND1,CASP3
CCND1,ESR1
CCND1,CYP19A1
CCND1,MCL1
CCND1,PIK3CA
CCND1,JUN
CCND1,STAT3
CCND1,RELA
CCND1,PGR
CCND1,PCNA
IL12B,TYK2
IL12B,TNF
LTF,TLR4
LTF,HP
LTF,ALB
LTF,MMP9
LTF,TFRC
CRBN,JUN
GGCX,F2
GGCX,PROC
GGCX,NQO1
PROC,F2
PROC,PROCR
PROC,SERPINC1
PROC,GGCX
ATIC,ALK
ATIC,IMPDH1
ATIC,DHFR
ATIC,NT5E
TNFSF10,CASP3
TNFSF10,TNF
AHR,ESR1
AKR1D1,CYP19A1
AKR1D1,HSD3B2
KRAS,IDH2
KRAS,MAP2K1
KRAS,NTRK3
KRAS,FGFR2
KRAS,PTGS2
KRAS,ERBB2
KRAS,PDGFRA
KRAS,JAK1
KRAS,ESR1
KRAS,IDH1
KRAS,PIK3CG
KRAS,BCL2
KRAS,MAP2K2
KRAS,NTRK2
KRAS,BRAF
KRAS,AKT1
KRAS,EGFR
KRAS,CCND1
KRAS,FGF2
KRAS,PPARG
KRAS,NOS1
KRAS,RET
KRAS,MET
KRAS,FGFR1
KRAS,PIK3CA
KRAS,RAF1
KRAS,TNF
KRAS,CDK4
KRAS,ICAM1
KRAS,NFKB1
KRAS,ROS1
KRAS,ALK
KRAS,STAT3
KRAS,FGFR3
PDGFRA,PIK3CA
PDGFRA,FGFR1
PDGFRA,IDH1
PDGFRA,STAT3
PDGFRA,TGFB1
PDGFRA,EGFR
PDGFRA,KRAS
PDGFRA,ERBB2
PDGFRA,JAK1
PDGFRA,FGF2
NT5E,CD44
NT5E,ATIC
NT5E,ALPL
NT5E,IMPDH1
NT5E,PNP
CDK4,CCND1
CDK4,MC1R
CDK4,KRAS
CDK4,TERT
CDK4,PIK3CA
CDK4,ESR1
CDK4,CASP3
CDK4,GAPDH
CDK4,NFKB1
CDK4,BCL2
CDK4,TOP2A
CDK4,PARP1
CDK4,CDK6
CDK4,PCNA
CDK4,DNMT1
CDK4,JUN
SLC6A4,MAOA
SLC6A4,HTR2A
SLC6A4,ALDH2
SLC6A4,HTR1D
SLC6A4,DRD1
SLC6A4,COMT
SLC6A4,DDC
SLC6A4,DRD2
SLC6A4,SLC18A2
SLC6A4,MAOB
ALDH2,MAOA
ALDH2,AKR1B1
ALDH2,MAOB
ALDH2,SLC6A4
KCNH2,SCN5A
KCNH2,KCNQ1
KCNH2,CYP3A4
KCNH2,SIGMAR1
KCNH2,KCND2
TRPA1,TRPV4
TRPA1,TRPV1
MAP2K2,KRAS
MAP2K2,TYK2
MAP2K2,MAP2K1
MAP2K2,BRAF
MAP2K2,RAF1
IL1B,TGFB1
IL1B,NOS2
IL1B,JUN
IL1B,STAT3
IL1B,NFE2L2
IL1B,RELA
IL1B,PPARA
IL1B,ESR1
IL1B,TNF
IL1B,CD44
IL1B,ICAM1
IL1B,BCL2
IL1B,CASP3
IL1B,GAPDH
IL1B,NFKB1
IL1B,FGF2
IL1B,ACE2
IL1B,PPARG
IL1B,NOD2
IL1B,PTGS2
IL1B,HMOX1
IL1B,TLR4
IL1B,REL
IL1B,CXCL8
IL1B,EGFR
IL1B,TNFSF11
IL1B,AKT1
IL1B,TLR9
IL1B,MMP9
IL1B,ALB
IL1B,TIRAP
IL1B,NFKB2
PIK3CA,ROS1
PIK3CA,CDK4
PIK3CA,RAF1
PIK3CA,FGFR1
PIK3CA,PIK3CG
PIK3CA,IDH1
PIK3CA,ESR1
PIK3CA,MET
PIK3CA,FGFR3
PIK3CA,STAT3
PIK3CA,PGR
PIK3CA,ALK
PIK3CA,CCND1
PIK3CA,MAP2K1
PIK3CA,TYK2
PIK3CA,INSR
PIK3CA,EGFR
PIK3CA,AKT1
PIK3CA,BRAF
PIK3CA,KRAS
PIK3CA,RET
PIK3CA,JAK1
PIK3CA,TLR4
PIK3CA,PDGFRA
PIK3CA,ERBB2
PIK3CA,FGFR2
PIK3CA,FGF2
PIK3CA,NTRK1
PIK3CA,NTRK3
BCHE,ALB
BCHE,MAOA
BCHE,F2
BCHE,MAOB
BCHE,MAPT
FGF2,CXCL8
FGF2,AKT1
FGF2,EGFR
FGF2,INSR
FGF2,MMP9
FGF2,ALB
FGF2,NTRK1
FGF2,FGFR2
FGF2,ERBB2
FGF2,PTGS2
FGF2,PDGFRA
