disease,drug,rank,score
nephroticsyndrome,DB06705,1,0.72474706
nephroticsyndrome,DB03585,2,0.7228609
nephroticsyndrome,DB00743,3,0.7216415
nephroticsyndrome,DB04711,4,0.71789455
nephroticsyndrome,DB13967,5,0.717666
nephroticsyndrome,DB08820,6,0.6874695
nephroticsyndrome,DB00384,7,0.6789125
nephroticsyndrome,DB11712,8,0.6737889
nephroticsyndrome,DB00594,9,0.6731837
nephroticsyndrome,DB09280,10,0.6701187
nephroticsyndrome,DB15444,11,0.66416734
nephroticsyndrome,DB01162,12,0.66083336
nephroticsyndrome,DB04951,13,0.65622824
nephroticsyndrome,DB00763,14,0.6554663
nephroticsyndrome,DB00550,15,0.65309584
nephroticsyndrome,DB00811,16,0.65281665
nephroticsyndrome,DB11496,17,0.65241474
nephroticsyndrome,DB01024,18,0.64805746
nephroticsyndrome,DB01033,19,0.6480444
nephroticsyndrome,DB00389,20,0.64797926
burkittlymphoma,DB15568,1,0.6014434
burkittlymphoma,DB15569,2,0.5914882
burkittlymphoma,DB05294,3,0.58078325
burkittlymphoma,DB15822,4,0.57770264
burkittlymphoma,DB15685,5,0.56935656
burkittlymphoma,DB12483,6,0.5293719
burkittlymphoma,DB12015,7,0.5206764
burkittlymphoma,DB00559,8,0.5162263
burkittlymphoma,DB11828,9,0.5159132
burkittlymphoma,DB15059,10,0.5142951
burkittlymphoma,DB08916,11,0.5140604
burkittlymphoma,DB01259,12,0.5137595
burkittlymphoma,DB11963,13,0.5133062
burkittlymphoma,DB00317,14,0.5049587
burkittlymphoma,DB00619,15,0.50292796
burkittlymphoma,DB08875,16,0.49001545
burkittlymphoma,DB16390,17,0.48234212
burkittlymphoma,DB09330,18,0.47988048
burkittlymphoma,DB16216,19,0.4797047
burkittlymphoma,DB09078,20,0.47011635
atherosclerosis,DB06083,1,0.76598674
atherosclerosis,DB00513,2,0.7533968
atherosclerosis,DB02325,3,0.74616766
atherosclerosis,DB00313,4,0.74583614
atherosclerosis,DB00132,5,0.74207616
atherosclerosis,DB01599,6,0.7412203
atherosclerosis,DB00768,7,0.73322237
atherosclerosis,DB00283,8,0.730687
atherosclerosis,DB06774,9,0.7299043
atherosclerosis,DB09120,10,0.7299043
atherosclerosis,DB04837,11,0.72926223
atherosclerosis,DB00777,12,0.7286478
atherosclerosis,DB01246,13,0.7281773
atherosclerosis,DB00637,14,0.72708935
atherosclerosis,DB00902,15,0.7268021
atherosclerosis,DB01069,16,0.7256535
atherosclerosis,DB06766,17,0.7254368
atherosclerosis,DB00392,18,0.72541
atherosclerosis,DB00885,19,0.7249104
atherosclerosis,DB00719,20,0.72456366
retinitispigmentosa,DB15456,1,0.7489656
retinitispigmentosa,DB00811,2,0.7470509
retinitispigmentosa,DB01162,3,0.74601185
retinitispigmentosa,DB04209,4,0.743732
retinitispigmentosa,DB08931,5,0.7435148
retinitispigmentosa,DB04951,6,0.7418858
retinitispigmentosa,DB01033,7,0.74099326
retinitispigmentosa,DB01024,8,0.7383131
retinitispigmentosa,DB00688,9,0.73699915
retinitispigmentosa,DB04854,10,0.68133414
retinitispigmentosa,DB16628,11,0.68122923
retinitispigmentosa,DB00437,12,0.66927826
retinitispigmentosa,DB08820,13,0.6569263
retinitispigmentosa,DB11712,14,0.6432554
retinitispigmentosa,DB00384,15,0.64108354
retinitispigmentosa,DB09280,16,0.63812923
retinitispigmentosa,DB00594,17,0.6373394
retinitispigmentosa,DB15444,18,0.6340829
retinitispigmentosa,DB00763,19,0.62317264
retinitispigmentosa,DB00550,20,0.61755043
neuroblastoma,DB00806,1,0.7883688
neuroblastoma,DB12141,2,0.7063271
neuroblastoma,DB11363,3,0.70566773
neuroblastoma,DB09063,4,0.7002058
neuroblastoma,DB04938,5,0.64468193
neuroblastoma,DB00977,6,0.6432514
neuroblastoma,DB00539,7,0.6426468
neuroblastoma,DB04575,8,0.64240444
neuroblastoma,DB12235,9,0.64233094
neuroblastoma,DB01357,10,0.6410397
neuroblastoma,DB00947,11,0.6406178
neuroblastoma,DB04573,12,0.6405716
neuroblastoma,DB13981,13,0.6380868
neuroblastoma,DB00648,14,0.63664937
neuroblastoma,DB00655,15,0.6355017
neuroblastoma,DB00890,16,0.6303444
neuroblastoma,DB00882,17,0.6295481
neuroblastoma,DB04574,18,0.6283859
neuroblastoma,DB09070,19,0.6276822
neuroblastoma,DB06374,20,0.6254178
adrenoleukodystrophy,DB01041,1,0.5246345
adrenoleukodystrophy,DB11611,2,0.4640746
adrenoleukodystrophy,DB08814,3,0.46352857
adrenoleukodystrophy,DB01421,4,0.4067063
adrenoleukodystrophy,DB00445,5,0.39604765
adrenoleukodystrophy,DB09130,6,0.39526948
adrenoleukodystrophy,DB08910,7,0.38306415
adrenoleukodystrophy,DB04845,8,0.38031563
adrenoleukodystrophy,DB00197,9,0.37020063
adrenoleukodystrophy,DB01132,10,0.36508346
adrenoleukodystrophy,DB09257,11,0.3616627
adrenoleukodystrophy,DB08818,12,0.3551131
adrenoleukodystrophy,DB11823,13,0.3501345
adrenoleukodystrophy,DB01011,14,0.34979564
adrenoleukodystrophy,DB09517,15,0.3452847
adrenoleukodystrophy,DB00944,16,0.34435618
adrenoleukodystrophy,DB01698,17,0.34407955
adrenoleukodystrophy,DB13063,18,0.34190255
adrenoleukodystrophy,DB00126,19,0.33760607
adrenoleukodystrophy,DB00693,20,0.33606422
zellwegersyndrome,DB16650,1,0.6559666
zellwegersyndrome,DB08818,2,0.6363392
zellwegersyndrome,DB13873,3,0.5832373
zellwegersyndrome,DB00746,4,0.5815549
zellwegersyndrome,DB09064,5,0.57053876
zellwegersyndrome,DB01039,6,0.56635666
zellwegersyndrome,DB01609,7,0.5606594
zellwegersyndrome,DB00449,8,0.5286497
zellwegersyndrome,DB01083,9,0.52094483
zellwegersyndrome,DB00545,10,0.51977205
zellwegersyndrome,DB00733,11,0.51882863
zellwegersyndrome,DB00989,12,0.51836616
zellwegersyndrome,DB00677,13,0.51732135
zellwegersyndrome,DB01057,14,0.517223
zellwegersyndrome,DB00941,15,0.5171027
zellwegersyndrome,DB00772,16,0.5141424
zellwegersyndrome,DB08877,17,0.5141011
zellwegersyndrome,DB01010,18,0.51371944
zellwegersyndrome,DB06155,19,0.5081103
zellwegersyndrome,DB00382,20,0.5071566
gout,DB00437,1,0.5837029
gout,DB04854,2,0.5347608
gout,DB16628,3,0.5194889
gout,DB01041,4,0.5126713
gout,DB01213,5,0.5093285
gout,DB01296,6,0.49438125
gout,DB11994,7,0.48875687
gout,DB05260,8,0.48066056
gout,DB00480,9,0.48016313
gout,DB08814,10,0.47841698
gout,DB12243,11,0.4217673
gout,DB01229,12,0.40218347
gout,DB11581,13,0.40182164
gout,DB01162,14,0.39529687
gout,DB04951,15,0.38154662
gout,DB12789,16,0.35340255
gout,DB16157,17,0.3507684
gout,DB00651,18,0.34906143
gout,DB01656,19,0.34426
gout,DB05219,20,0.3438996
celiacdisease,DB00492,1,0.70293057
celiacdisease,DB13166,2,0.7024925
celiacdisease,DB00519,3,0.7005191
celiacdisease,DB00178,4,0.70032
celiacdisease,DB00691,5,0.69999945
celiacdisease,DB01197,6,0.699699
celiacdisease,DB01348,7,0.6991054
celiacdisease,DB00542,8,0.6987097
celiacdisease,DB00790,9,0.69723046
celiacdisease,DB00881,10,0.69692343
celiacdisease,DB09477,11,0.69679356
celiacdisease,DB00584,12,0.69660336
celiacdisease,DB01340,13,0.6960056
celiacdisease,DB00722,14,0.6949938
celiacdisease,DB01180,15,0.690827
celiacdisease,DB00999,16,0.6898278
celiacdisease,DB13853,17,0.6784451
celiacdisease,DB11328,18,0.63129187
celiacdisease,DB00170,19,0.6210191
celiacdisease,DB01022,20,0.620802
diabeticretinopathy,DB00966,1,0.47807473
diabeticretinopathy,DB00609,2,0.44258323
diabeticretinopathy,DB13751,3,0.44199598
diabeticretinopathy,DB04339,4,0.43873343
diabeticretinopathy,DB00445,5,0.43352693
diabeticretinopathy,DB12513,6,0.42513418
diabeticretinopathy,DB08818,7,0.40668035
diabeticretinopathy,DB00275,8,0.3994016
diabeticretinopathy,DB09019,9,0.3939426
diabeticretinopathy,DB01029,10,0.39372516
diabeticretinopathy,DB13063,11,0.39358556
diabeticretinopathy,DB04931,12,0.39027005
diabeticretinopathy,DB00177,13,0.3872738
diabeticretinopathy,DB00678,14,0.38301113
diabeticretinopathy,DB00876,15,0.3814974
diabeticretinopathy,DB08822,16,0.38131508
diabeticretinopathy,DB01421,17,0.37891084
diabeticretinopathy,DB12548,18,0.37518328
diabeticretinopathy,DB00796,19,0.35994148
diabeticretinopathy,DB00693,20,0.35806912
malaria,DB09517,1,0.58225375
malaria,DB09112,2,0.5534394
malaria,DB03085,3,0.54970294
malaria,DB01708,4,0.5380772
malaria,DB06154,5,0.5367042
malaria,DB09130,6,0.5176405
malaria,DB00548,7,0.51209664
malaria,DB00608,8,0.48882216
malaria,DB01254,9,0.4727697
malaria,DB01611,10,0.46762067
malaria,DB01064,11,0.45286846
malaria,DB11611,12,0.44828412
malaria,DB00208,13,0.4439261
malaria,DB05187,14,0.43430823
malaria,DB08814,15,0.43099707
malaria,DB01421,16,0.42347306
malaria,DB01393,17,0.41547066
malaria,DB11823,18,0.4146936
malaria,DB04348,19,0.4135449
malaria,DB00197,20,0.4116649
marfansyndrome,DB01041,1,0.6230338
marfansyndrome,DB08814,2,0.6109794
marfansyndrome,DB08910,3,0.5484303
marfansyndrome,DB01213,4,0.5437907
marfansyndrome,DB00795,5,0.43086922
marfansyndrome,DB00480,6,0.405308
marfansyndrome,DB11760,7,0.3802089
marfansyndrome,DB11327,8,0.3741349
marfansyndrome,DB12332,9,0.37397778
marfansyndrome,DB11793,10,0.364225
marfansyndrome,DB09074,11,0.36410955
marfansyndrome,DB12243,12,0.358786
marfansyndrome,DB13063,13,0.34871346
marfansyndrome,DB11994,14,0.33201766
marfansyndrome,DB01296,15,0.32944787
marfansyndrome,DB00445,16,0.3290096
marfansyndrome,DB01229,17,0.3200097
marfansyndrome,DB05260,18,0.3125633
marfansyndrome,DB09257,19,0.31233633
marfansyndrome,DB11611,20,0.31164408
osteoporosis,DB09092,1,0.76625323
osteoporosis,DB08905,2,0.7626586
osteoporosis,DB07776,3,0.759976
osteoporosis,DB00990,4,0.7540393
osteoporosis,DB00894,5,0.7531157
osteoporosis,DB01006,6,0.7514176
osteoporosis,DB01217,7,0.7508753
osteoporosis,DB00357,8,0.75058967
osteoporosis,DB12754,9,0.7495828
osteoporosis,DB03255,10,0.74808097
osteoporosis,DB01031,11,0.7472358
osteoporosis,DB00591,12,0.74688244
osteoporosis,DB14086,13,0.7458986
osteoporosis,DB11085,14,0.7455802
osteoporosis,DB09472,15,0.7454822
osteoporosis,DB00819,16,0.74503225
osteoporosis,DB00703,17,0.7449167
osteoporosis,DB00606,18,0.7442349
osteoporosis,DB00880,19,0.7437003
osteoporosis,DB06795,20,0.74354
glioma,DB05382,1,0.70397913
glioma,DB09418,2,0.69852245
glioma,DB16267,3,0.6797508
glioma,DB14568,4,0.6668025
glioma,DB13949,5,0.6389172
glioma,DB14520,6,0.6306868
glioma,DB01396,7,0.62768507
glioma,DB09020,8,0.62718284
glioma,DB00390,9,0.6237603
glioma,DB00694,10,0.62263346
glioma,DB00276,11,0.61642516
glioma,DB01177,12,0.61613786
glioma,DB00265,13,0.61555976
glioma,DB00779,14,0.6146612
glioma,DB01204,15,0.6132511
glioma,DB01046,16,0.6125922
glioma,DB00487,17,0.6119834
glioma,DB00380,18,0.6097636
glioma,DB00817,19,0.609033
glioma,DB00978,20,0.6070561
ehlers-danlossyndrome,DB01162,1,0.5204587
ehlers-danlossyndrome,DB04951,2,0.5154083
ehlers-danlossyndrome,DB00437,3,0.5115594
ehlers-danlossyndrome,DB04854,4,0.49258012
ehlers-danlossyndrome,DB16628,5,0.4808227
ehlers-danlossyndrome,DB01254,6,0.47886845
ehlers-danlossyndrome,DB09112,7,0.46020666
ehlers-danlossyndrome,DB03085,8,0.45714754
ehlers-danlossyndrome,DB00608,9,0.4567588
ehlers-danlossyndrome,DB01708,10,0.45296314
ehlers-danlossyndrome,DB06154,11,0.4521067
ehlers-danlossyndrome,DB00746,12,0.44903386
ehlers-danlossyndrome,DB00811,13,0.42929184
ehlers-danlossyndrome,DB01609,14,0.42782143
ehlers-danlossyndrome,DB05260,15,0.4212134
ehlers-danlossyndrome,DB01296,16,0.4201812
ehlers-danlossyndrome,DB01033,17,0.41754466
ehlers-danlossyndrome,DB11994,18,0.4110059
ehlers-danlossyndrome,DB01024,19,0.40907052
ehlers-danlossyndrome,DB00688,20,0.40629125
aicardi-goutieressyndrome,DB13063,1,0.3688745
aicardi-goutieressyndrome,DB01041,2,0.31011194
aicardi-goutieressyndrome,DB00627,3,0.27607083
aicardi-goutieressyndrome,DB08949,4,0.2618227
aicardi-goutieressyndrome,DB00806,5,0.26048994
aicardi-goutieressyndrome,DB13751,6,0.25975966
aicardi-goutieressyndrome,DB03619,7,0.24936432
aicardi-goutieressyndrome,DB01296,8,0.24189328
