uniprot_id,kegg_gene,org_pathway_id,map_pathway_id
P01555,vch:VC_1457,vch05110,map05110
P01555,vch:VC_1457,vch05111,map05111
P01556,vch:VC_1456,vch05110,map05110
P01556,vch:VC_1456,vch05111,map05111
P09545,vch:VC_A0219,vch05110,map05110
P15493,vch:VC_A0221,vch00561,map00561
P15493,vch:VC_A0221,vch01100,map01100
P15493,vch:VC_A0221,vch01110,map01110
P23247,vch:VC_2107,vch00260,map00260
P23247,vch:VC_2107,vch00261,map00261
P23247,vch:VC_2107,vch00270,map00270
P23247,vch:VC_2107,vch00300,map00300
P23247,vch:VC_2107,vch01100,map01100
P23247,vch:VC_2107,vch01110,map01110
P23247,vch:VC_2107,vch01120,map01120
P23247,vch:VC_2107,vch01210,map01210
P23247,vch:VC_2107,vch01230,map01230
P37093,vch:VC_2732,vch03070,map03070
P37093,vch:VC_2732,vch05111,map05111
Q9KL03,vch:VC_A0947,vch00330,map00330
Q9KL03,vch:VC_A0947,vch01100,map01100
Q9KL41,vch:VC_A0907,vch00860,map00860
Q9KL41,vch:VC_A0907,vch01110,map01110
Q9KNI1,vch:VC_2758,vch00071,map00071
Q9KNI1,vch:VC_2758,vch00280,map00280
Q9KNI1,vch:VC_2758,vch00310,map00310
Q9KNI1,vch:VC_2758,vch00362,map00362
Q9KNI1,vch:VC_2758,vch00380,map00380
Q9KNI1,vch:VC_2758,vch00410,map00410
Q9KNI1,vch:VC_2758,vch00640,map00640
Q9KNI1,vch:VC_2758,vch00650,map00650
Q9KNI1,vch:VC_2758,vch00907,map00907
Q9KNI1,vch:VC_2758,vch00930,map00930
Q9KNI1,vch:VC_2758,vch01100,map01100
Q9KNI1,vch:VC_2758,vch01110,map01110
Q9KNI1,vch:VC_2758,vch01120,map01120
Q9KNI1,vch:VC_2758,vch01200,map01200
Q9KNI1,vch:VC_2758,vch01212,map01212
Q9KQG2,vch:VC_2036,vch00260,map00260
Q9KQG2,vch:VC_2036,vch00261,map00261
Q9KQG2,vch:VC_2036,vch00270,map00270
Q9KQG2,vch:VC_2036,vch00300,map00300
Q9KQG2,vch:VC_2036,vch01100,map01100
Q9KQG2,vch:VC_2036,vch01110,map01110
Q9KQG2,vch:VC_2036,vch01120,map01120
Q9KQG2,vch:VC_2036,vch01210,map01210
Q9KQG2,vch:VC_2036,vch01230,map01230
Q9KRA3,vch:VC_1738,vch00061,map00061
Q9KRA3,vch:VC_1738,vch00650,map00650
Q9KRA3,vch:VC_1738,vch01100,map01100
Q9KRA3,vch:VC_1738,vch01110,map01110
Q9KRA3,vch:VC_1738,vch01120,map01120
Q9KRA3,vch:VC_1738,vch01200,map01200
Q9KRA3,vch:VC_1738,vch01212,map01212
Q9KS12,vch:VC_1451,vch05110,map05110
Q9KS45,vch:VC_1416,vch03070,map03070
Q9KSE5,vch:VC_1312,vch00260,map00260
Q9KSE5,vch:VC_1312,vch00270,map00270
Q9KSE5,vch:VC_1312,vch00310,map00310
Q9KSE5,vch:VC_1312,vch00470,map00470
Q9KSE5,vch:VC_1312,vch01100,map01100
Q9KSE5,vch:VC_1312,vch01120,map01120
Q9KVG8,vch:VC_0178,vch00564,map00564
Q9KVG8,vch:VC_0178,vch00592,map00592
Q9KVG8,vch:VC_0178,vch01100,map01100
Q9KVG8,vch:VC_0178,vch01110,map01110
