ko_id,pathway_id,kegg_gene,uniprot_id,drugbank_id,drug_name,evidence_type
K10929,map05110,vch:VC_1456,P01556,DB02213,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02379,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02474,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02572,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02574,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02802,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB02903,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB03077,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB03235,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB03524,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB03721,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB04073,Cholera enterotoxin subunit B,KO_inferred
K10929,map05110,vch:VC_1456,P01556,DB04210,Cholera enterotoxin subunit B,KO_inferred
K01791,map05111,vch:VC_0917,Q9KTI5,DB02196,UDP-N-acetylglucosamine 2-epimerase,KO_inferred
K01791,map05111,vch:VC_0917,Q9KTI5,DB03435,UDP-N-acetylglucosamine 2-epimerase,KO_inferred
K02454,map05111,vch:VC_2732,P37093,DB04395,Type II secretion system ATPase E,KO_inferred
K10914,map05111,vch:VC_2614,Q9KNW6,DB02527,DNA-binding transcriptional dual regulator CRP,KO_inferred
K10915,map05111,vch:VC_A0523,Q9KM65,DB08364,CAI-1 autoinducer synthase,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02213,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02379,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02474,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02572,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02574,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02802,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB02903,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB03077,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB03235,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB03524,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB03721,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB04073,Cholera enterotoxin subunit B,KO_inferred
K10929,map05111,vch:VC_1456,P01556,DB04210,Cholera enterotoxin subunit B,KO_inferred
K00864,map00561,vch:VC_A0744,Q9KLJ9,DB02937,Glycerol kinase,KO_inferred
K00864,map00561,vch:VC_A0744,Q9KLJ9,DB04551,Glycerol kinase,KO_inferred
K00013,map01100,vch:VC_1133,Q9F854,DB03366,Histidinol dehydrogenase,KO_inferred
K00013,map01100,vch:VC_1133,Q9F854,DB03811,Histidinol dehydrogenase,KO_inferred
K00013,map01100,vch:VC_1133,Q9F854,DB04447,Histidinol dehydrogenase,KO_inferred
K00014,map01100,vch:VC_0056,Q9KVT3,DB03461,Shikimate dehydrogenase (NADP(+)),KO_inferred
K00014,map01100,vch:VC_0056,Q9KVT3,DB04447,Shikimate dehydrogenase (NADP(+)),KO_inferred
K00031,map01100,vch:VC_1141,Q9KSW5,DB01727,Isocitrate dehydrogenase [NADP],KO_inferred
K00031,map01100,vch:VC_1141,Q9KSW5,DB02190,Isocitrate dehydrogenase [NADP],KO_inferred
K00031,map01100,vch:VC_1141,Q9KSW5,DB03461,Isocitrate dehydrogenase [NADP],KO_inferred
