disease_name,kegg_drug_id
Pertussis,D00752
Pertussis,D01392
Pertussis,D04936
Pertussis,D05094
Pertussis,D05095
Pertussis,D05096
Pertussis,D06130
Pertussis,D00161
Pertussis,D04931
Pertussis,D06109
Pertussis,D08603
Pertussis,D00155
Pertussis,D11017
Pertussis,D04245
Pertussis,D05396
Pertussis,D06596
Pertussis,D10431
Pertussis,D10432
Pertussis,D00220
Pertussis,D03086
Pertussis,D04234
Pertussis,D06180
Pertussis,D00236
Pertussis,D11738
Pertussis,D11739
Pertussis,D10595
Pertussis,D12277
Pertussis,D12991
Pertussis,D12817
Pertussis,D04458
Pertussis,D08044
Pertussis,D11981
Pertussis,D00505
Pertussis,D00785
Pertussis,D00826
Pertussis,D01097
Pertussis,D01888
Pertussis,D02559
Pertussis,D02560
Pertussis,D02561
Pertussis,D02562
Pertussis,D02563
Pertussis,D02564
Pertussis,D02579
Pertussis,D02580
Pertussis,D02581
Pertussis,D03239
Pertussis,D03248
Pertussis,D03409
Pertussis,D03731
Pertussis,D03733
Pertussis,D04092
Pertussis,D04681
Pertussis,D05033
Pertussis,D05039
Pertussis,D05040
Pertussis,D05458
Pertussis,D05459
Pertussis,D07337
Pertussis,D07338
Pertussis,D08085
Pertussis,D08349
Pertussis,D08392
Pertussis,D08393
Pertussis,D08453
Pertussis,D08469
Pertussis,D08625
Pertussis,D10158
Pertussis,D10191
Pertussis,D10829
Pertussis,D11224
Pertussis,D12197
Pertussis,D03021
Pertussis,D03665
Pertussis,D11740
Pertussis,D07258
Pertussis,D12723
Pertussis,D00359
Pertussis,D00434
Pertussis,D00887
Pertussis,D00889
Pertussis,D00892
Pertussis,D00893
Pertussis,D01862
Pertussis,D01915
Pertussis,D02258
Pertussis,D03601
Pertussis,D03643
Pertussis,D03816
Pertussis,D07474
Pertussis,D07661
Pertussis,D07983
Pertussis,D08410
Pertussis,D08492
Pertussis,D10568
Pertussis,D11092
Pertussis,D11095
Pertussis,D10901
Pertussis,D11044
Pertussis,D11090
Pertussis,D11834
Pertussis,D11835
Pertussis,D12483
Pertussis,D12708
Pertussis,D12717
Pertussis,D00123
Pertussis,D00131
Pertussis,D12792
Pertussis,D00749
Pertussis,D03154
Pertussis,D10172
Pertussis,D11890
Pertussis,D12505
Pertussis,D13127
Pertussis,D13128
Pertussis,D00142
Pertussis,D02115
Pertussis,D03828
Pertussis,D03942
Pertussis,D05500
Pertussis,D05589
Pertussis,D05999
Pertussis,D06238
Pertussis,D06239
Pertussis,D06503
Pertussis,D07472
Pertussis,D10596
Pertussis,D11352
Pertussis,D13147
Pertussis,D05177
Pertussis,D11077
Pertussis,D00323
Pertussis,D00391
Pertussis,D00584
Pertussis,D01064
Pertussis,D01223
Pertussis,D01244
Pertussis,D01309
Pertussis,D01784
Pertussis,D04197
Pertussis,D04964
Pertussis,D07974
Pertussis,D10803
Pertussis,D11447
Pertussis,D12388
Pertussis,D12528
Pertussis,D02755
Pertussis,D04537
Pertussis,D00925
Pertussis,D02187
Pertussis,D02188
Pertussis,D04253
Pertussis,D07995
Pertussis,D00433
Pertussis,D00447
Pertussis,D00450
Pertussis,D00580
Pertussis,D00587
Pertussis,D00592
Pertussis,D00870
Pertussis,D00871
Pertussis,D01047
Pertussis,D01141
