disease_name,uniprot_id
Pertussis,P04977
Pertussis,P0DKX7
Pertussis,P14283
Pertussis,P16575
Pertussis,Q7VYU0
Pertussis,P04978
Pertussis,P0A3I5
Pertussis,P35077
Pertussis,P41399
Pertussis,Q45338
Pertussis,Q45340
Pertussis,Q7TTP0
Pertussis,Q7VT27
Pertussis,Q7VUH1
Pertussis,Q7VW76
Pertussis,Q7VWK8
Pertussis,Q7VXX8
Pertussis,Q7VYK4
Pertussis,Q7VZ77
Pertussis,Q7VZU4
Pertussis,P04979
Pertussis,P04981
Pertussis,P0A323
Pertussis,P0A339
Pertussis,P0A3R5
Pertussis,P0A448
Pertussis,P0A4E5
Pertussis,P0A4H2
Pertussis,P0A4U8
Pertussis,P0DKX5
Pertussis,P0DKX8
Pertussis,P12421
Pertussis,P48210
Pertussis,P53642
Pertussis,P56865
Pertussis,P61034
Pertussis,P65622
Pertussis,P67678
Pertussis,P81549
Pertussis,Q04064
Pertussis,Q7TT91
Pertussis,Q7U358
Pertussis,Q7U359
Pertussis,Q7U363
Pertussis,Q7U365
Pertussis,Q7U366
Pertussis,Q7VRX7
Pertussis,Q7VRX8
Pertussis,Q7VRY0
Pertussis,Q7VRY3
Pertussis,Q7VRZ3
Pertussis,Q7VS43
Pertussis,Q7VS47
Pertussis,Q7VS76
Pertussis,Q7VS95
Pertussis,Q7VSA0
Pertussis,Q7VSE0
Pertussis,Q7VSE8
Pertussis,Q7VSF4
Pertussis,Q7VSH3
Pertussis,Q7VSM2
Pertussis,Q7VSN4
Pertussis,Q7VSR5
Pertussis,Q7VSU7
Pertussis,Q7VSV1
Pertussis,Q7VSV5
Pertussis,Q7VSW3
Pertussis,Q7VSX3
Pertussis,Q7VSX5
Pertussis,Q7VSX6
Pertussis,Q7VSX7
Pertussis,Q7VSX8
Pertussis,Q7VSX9
Pertussis,Q7VSY5
Pertussis,Q7VSY6
Pertussis,Q7VSY8
Pertussis,Q7VSZ1
Pertussis,Q7VSZ3
Pertussis,Q7VT61
Pertussis,Q7VT71
Pertussis,Q7VT93
Pertussis,Q7VT94
Pertussis,Q7VTE5
Pertussis,Q7VTJ7
Pertussis,Q7VTJ8
Pertussis,Q7VTJ9
Pertussis,Q7VTN4
Pertussis,Q7VTP4
Pertussis,Q7VTR9
Pertussis,Q7VTT6
Pertussis,Q7VTU0
Pertussis,Q7VU11
Pertussis,Q7VU12
Pertussis,Q7VU32
Pertussis,Q7VU41
Pertussis,Q7VU44
Pertussis,Q7VU46
Pertussis,Q7VU56
Pertussis,Q7VU66
Pertussis,Q7VU72
Pertussis,Q7VUD3
Pertussis,Q7VUE3
Pertussis,Q7VUE5
Pertussis,Q7VUF4
Pertussis,Q7VUG2
Pertussis,Q7VUG7
Pertussis,Q7VUH0
Pertussis,Q7VUH3
Pertussis,Q7VUJ5
Pertussis,Q7VUJ9
Pertussis,Q7VUK0
Pertussis,Q7VUL5
Pertussis,Q7VUL8
Pertussis,Q7VUN6
Pertussis,Q7VUP6
Pertussis,Q7VUQ0
Pertussis,Q7VUQ1
Pertussis,Q7VUQ3
Pertussis,Q7VUQ4
Pertussis,Q7VUQ5
Pertussis,Q7VUQ9
Pertussis,Q7VUR2
Pertussis,Q7VUS0
Pertussis,Q7VUS1
Pertussis,Q7VUS7
Pertussis,Q7VUU5
Pertussis,Q7VUW0
Pertussis,Q7VUW3
Pertussis,Q7VUW5
Pertussis,Q7VUW7
Pertussis,Q7VV53
Pertussis,Q7VV72
Pertussis,Q7VV87
Pertussis,Q7VVF1
Pertussis,Q7VVF8
Pertussis,Q7VVJ8
Pertussis,Q7VVM4
Pertussis,Q7VVR4
Pertussis,Q7VVR5
Pertussis,Q7VVR6
Pertussis,Q7VVU3
Pertussis,Q7VVU5
Pertussis,Q7VVU9
Pertussis,Q7VVW3
Pertussis,Q7VVX6
Pertussis,Q7VVX8
Pertussis,Q7VVY3
Pertussis,Q7VW08
Pertussis,Q7VW28
Pertussis,Q7VW29
Pertussis,Q7VW39
Pertussis,Q7VW40
Pertussis,Q7VW48
Pertussis,Q7VW79
Pertussis,Q7VW80
Pertussis,Q7VWC1
Pertussis,Q7VWD8
Pertussis,Q7VWE3
Pertussis,Q7VWE7
Pertussis,Q7VWH8
Pertussis,Q7VWK6
Pertussis,Q7VWK7
Pertussis,Q7VWL0
Pertussis,Q7VWM1
Pertussis,Q7VWP1
Pertussis,Q7VWV5
Pertussis,Q7VWV8
Pertussis,Q7VWW0
Pertussis,Q7VX46
Pertussis,Q7VX83
Pertussis,Q7VX94
Pertussis,Q7VX96
Pertussis,Q7VX99
Pertussis,Q7VXA0
Pertussis,Q7VXE1
Pertussis,Q7VXF8
Pertussis,Q7VXH4
Pertussis,Q7VXI6
Pertussis,Q7VXI7
Pertussis,Q7VXI8
Pertussis,Q7VXJ5
Pertussis,Q7VXK3
Pertussis,Q7VXM6
Pertussis,Q7VXN2
Pertussis,Q7VXN3
Pertussis,Q7VXN4
Pertussis,Q7VXY3
Pertussis,Q7VXZ3
Pertussis,Q7VXZ8
Pertussis,Q7VY62
Pertussis,Q7VY64
Pertussis,Q7VY73
Pertussis,Q7VY75
Pertussis,Q7VY88
Pertussis,Q7VY92
Pertussis,Q7VY99
Pertussis,Q7VYB6
Pertussis,Q7VYB9
Pertussis,Q7VYC4
Pertussis,Q7VYC8
Pertussis,Q7VYD2
Pertussis,Q7VYK0
Pertussis,Q7VYM4
Pertussis,Q7VYN2
Pertussis,Q7VYQ0
