drug_id,drug_name,drug_type
DB00027,Gramicidin D,small molecule
DB00080,Daptomycin,small molecule
DB00140,Riboflavin,small molecule
DB00152,Thiamine,small molecule
DB00173,Adenine,small molecule
DB00229,Cefotiam,small molecule
DB00256,Lymecycline,small molecule
DB00259,Sulfanilamide,small molecule
DB00260,Cycloserine,small molecule
DB00263,Sulfisoxazole,small molecule
DB00267,Cefmenoxime,small molecule
DB00274,Cefmetazole,small molecule
DB00303,Ertapenem,small molecule
DB00330,Ethambutol,small molecule
DB00336,Nitrofural,small molecule
DB00339,Pyrazinamide,small molecule
DB00355,Aztreonam,small molecule
DB00359,Sulfadiazine,small molecule
DB00417,Phenoxymethylpenicillin,small molecule
DB00430,Cefpiramide,small molecule
DB00438,Ceftazidime,small molecule
DB00440,Trimethoprim,small molecule
DB00446,Chloramphenicol,small molecule
DB00452,Framycetin,small molecule
DB00453,Clomocycline,small molecule
DB00456,Cefalotin,small molecule
DB00479,Amikacin,small molecule
DB00548,Azelaic acid,small molecule
DB00560,Tigecycline,small molecule
DB00576,Sulfamethizole,small molecule
DB00578,Carbenicillin,small molecule
DB00581,Lactulose,small molecule
DB00595,Oxytetracycline,small molecule
DB00609,Ethionamide,small molecule
DB00615,Rifabutin,small molecule
DB00634,Sulfacetamide,small molecule
DB00664,Sulfametopyrazine,small molecule
DB00671,Cefixime,small molecule
DB00689,Cephaloglycin,small molecule
DB00698,Nitrofurantoin,small molecule
DB00730,Thiabendazole,small molecule
DB00756,Hexachlorophene,small molecule
DB00759,Tetracycline,small molecule
DB00760,Meropenem,small molecule
DB00778,Roxithromycin,small molecule
DB00798,Gentamicin,small molecule
DB00803,Colistin,biotech
DB00828,Fosfomycin,small molecule
DB00891,Sulfapyridine,small molecule
DB00919,Spectinomycin,small molecule
DB00948,Mezlocillin,small molecule
DB00951,Isoniazid,small molecule
DB00955,Netilmicin,small molecule
DB00994,Neomycin,small molecule
DB01000,Cyclacillin,small molecule
DB01015,Sulfamethoxazole,small molecule
DB01017,Minocycline,small molecule
DB01034,Cerulenin,small molecule
DB01045,Rifampin,small molecule
DB01053,Benzylpenicillin,small molecule
DB01082,Streptomycin,small molecule
DB01111,Colistimethate,small molecule
DB01147,Cloxacillin,small molecule
DB01163,Amdinocillin,small molecule
DB01172,Kanamycin,small molecule
DB01201,Rifapentine,small molecule
DB01211,Clarithromycin,small molecule
DB01220,Rifaximin,small molecule
DB01298,Sulfacytine,small molecule
DB01299,Sulfadoxine,small molecule
DB01301,Rolitetracycline,small molecule
DB01327,Cefazolin,small molecule
DB01328,Cefonicid,small molecule
DB01329,Cefoperazone,small molecule
DB01331,Cefoxitin,small molecule
DB01332,Ceftizoxime,small molecule
DB01333,Cefradine,small molecule
DB01369,Quinupristin,small molecule
DB01413,Cefepime,small molecule
DB01414,Cefacetrile,small molecule
DB01415,Ceftibuten,small molecule
DB01416,Cefpodoxime,small molecule
DB01581,Sulfamerazine,small molecule
DB01582,Sulfamethazine,small molecule
DB01598,Imipenem,small molecule
DB01602,Bacampicillin,small molecule
DB01629,5-fluorouridine,small molecule
DB01634,2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine,small molecule
