kegg_drug_id,drug_name
D00123,Cyanamide (JP18)
D00131,Disulfiram (JP18/USP/INN)
D00359,Lovastatin (USP/INN)
D00434,Simvastatin (JP18/USP/INN)
D00887,Atorvastatin calcium anhydorous
D00889,Cerivastatin sodium (JAN/USAN)
D00892,Fluvastatin sodium (JAN/USP)
D00893,Pravastatin sodium (JP18/USP)
D01862,Pitavastatin calcium (JAN)
D01915,Rosuvastatin calcium (JP18/USP)
D02258,Atorvastatin calcium (USP)
D03601,Crilvastatin (USAN/INN)
D03643,Dalvastatin (USAN/INN)
D03816,Tenivastatin calcium (USAN)
D07474,Atorvastatin (INN)
D07661,Cerivastatin (INN)
D07983,Fluvastatin (INN)
D08410,Pravastatin (INN)
D08492,Rosuvastatin (INN)
D10568,Pitavastatin calcium hydrate (JP18)
D11092,Pitavastatin magnesium
D11095,Atorvastatin calcium propylene glycol solvate
D10901,Enasidenib (USAN/INN)
D11044,Enasidenib mesylate (USAN)
D11090,Ivosidenib (JAN/USAN/INN)
D11834,Vorasidenib (USAN/INN)
D11835,Vorasidenib citrate (USAN)
D12483,Olutasidenib (USAN/INN)
D12708,Crelosidenib (USAN)
D12717,Crelosidenib gentisate (USAN)
D00752,Mycophenolate mofetil (JAN/USP)
D01392,Mizoribine (JP18/INN)
D04936,Merimepodib (USAN/INN)
D05094,Mycophenolate mofetil hydrochloride (USAN)
D05095,Mycophenolate sodium (USP)
D05096,Mycophenolic acid (USAN/INN)
D06130,Tiazofurin (USAN)
D12792,Misetionamide (USAN/INN)
D00749,Leflunomide (JAN/USP/INN)
D03154,Brequinar sodium (USAN)
D10172,Teriflunomide (USAN)
D11890,Emvododstat (USAN)
D12505,Olorofim (JAN/USAN/INN)
D13127,Vidofludimus (USAN/INN)
D13128,Vidofludimus calcium (USAN)
D00142,Methotrexate (JP18/USP/INN)
D02115,Methotrexate sodium
D03828,Pemetrexed disodium (USAN)
D03942,Edatrexate (USAN/INN)
