kegg_drug_id,pubchem_cid,smiles
D00123,7847191,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)O[C@H](C)C(=O)NC3CCCC3)C4=CC=CC=C4
D00131,7847199,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)OCC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5
D00359,7847425,C[C@H](C(=O)NC1=CC=CC=C1OC)SC2=CC=C(C=C2)C(C)(C)C
D00434,7847500,CCC1=C(SC(=C1)C(=O)OCC(=O)NC2=CC=CC=C2C(=O)NCC(C)C)C
D00887,7847951,CC(C)COC1=C(C=C(C=C1Cl)/C=C/C(=O)OCC(=O)N2CCOCC2)OC
D00889,7847953,CC(C)COC1=C(C=C(C=C1Cl)/C=C/C(=O)OCC(=O)NC2CC2)OC
D00892,7847956,CC1=C(C=CC2=C1OC(=O)C=C2COC(=O)CCC(C)C)O
D00893,7847957,CC(C)CCC(=O)OCC1=NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)N1CC#N
D01862,7848924,CC(C)(C)C(=O)CSC1=NC2=C(C=CC(=C2)C(=O)OC)C(=O)N1CC3=CC=CO3
D01915,7848977,C[C@@H](CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SCC3=CC(=CC=C3)C#N)O
D02258,7849317,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC2=C(C=C(C=C2)Br)F
D03601,17397711,CN1C=C(C=N1)/C=C\2/C(=O)N(C(=S)N2)CC3CCCO3
D03643,17397743,C1CN(C2=CC=CC=C21)C(=O)C3=CC=C(C=C3)N4C=NN=N4
D03816,17397903,CC(C1=CC=C(C=C1)S(=O)(=O)C)NC(=O)CNC(=O)C2=CC=CO2
D07474,51091801,C1=CC=C(C=C1)C2=NOC(=C2)CNC(=O)C3=CC(=NC=C3)N4C=NC=N4
D07661,51091965,CN1C=C(C=N1)CNC(=O)N2CCCC2CC3=CC(=CC=C3)F
D07983,96024677,CC1=CC2=C(C=C1C)[C@H](NCC2)/C=C/CN(C)C
D08410,96025096,CC1=CC2=C(C=C1C)[C@@H](NCC2)C=C
D08492,96025178,CC1=CC2=C(C=C1C)[C@@H](NCC2)C(C)(C)C
D00752,7847817,CC(C)[C@H](C(=O)NC(=O)N)OC(=O)C1=CC=C(S1)C2=CC=C(C=C2)Cl
D01392,7848455,COC1=CC(=C(C=C1)C(=O)COC(=O)C2=CC3=C(C=C2)SCCC(=O)N3)OC
D04936,47206686,C1CC1NC(=O)CS(=O)(=O)CC2=CC=C(C=C2)Br
D05094,47206819,CCNC(=O)CCS(=O)(=O)CC1=C(C=CC(=C1)Cl)OC
D05095,47206820,CNC(=O)CCS(=O)(=O)CC1=C(C=CC(=C1)Cl)OC
D05096,47206821,CCCC1=NOC(=N1)CS(=O)(=O)CC2=CC(=NO2)C
D06130,47207788,CC1=NC(=NO1)CS(=O)(=O)CCC(=O)NC(C)C
D00749,7847814,CCC1=CC=CC(=C1NC(=O)CSC2=C(C=CC=C2Cl)Cl)C
D03154,17397308,CC1=CC(=C(C=C1)C)C(=O)OCC(=O)C2=CC(=C(C=C2)O)NC(=O)C
