pathway_id,kegg_drug_id
map00561,D00123
map00561,D00131
map01100,D00359
map01100,D00434
map01100,D00887
map01100,D00889
map01100,D00892
map01100,D00893
map01100,D01862
map01100,D01915
map01100,D02258
map01100,D03601
map01100,D03643
map01100,D03816
map01100,D07474
map01100,D07661
map01100,D07983
map01100,D08410
map01100,D08492
map01100,D10568
map01100,D11092
map01100,D11095
map01100,D10901
map01100,D11044
map01100,D11090
map01100,D11834
map01100,D11835
map01100,D12483
map01100,D12708
map01100,D12717
map01100,D00752
map01100,D01392
map01100,D04936
map01100,D05094
map01100,D05095
map01100,D05096
map01100,D06130
map01100,D00123
map01100,D00131
map01100,D12792
map01100,D00749
map01100,D03154
map01100,D10172
map01100,D11890
map01100,D12505
map01100,D13127
map01100,D13128
map01100,D00142
map01100,D02115
map01100,D03828
map01100,D03942
map01100,D05500
map01100,D05589
map01100,D05999
map01100,D06238
map01100,D06239
map01100,D06503
map01100,D07472
map01100,D10596
map01100,D11352
map01100,D13147
map01100,D00236
map01100,D05177
map01100,D11077
map01100,D03021
map01100,D03665
map01100,D11740
map01100,D00323
map01100,D00391
map01100,D00584
map01100,D01064
map01100,D01223
map01100,D01244
map01100,D01309
map01100,D01784
map01100,D04197
map01100,D04964
map01100,D07974
map01100,D10803
map01100,D11447
map01100,D12388
map01100,D12528
map01100,D02755
map01100,D04537
map01100,D00161
map01100,D04931
map01100,D06109
map01100,D08603
map01100,D00925
map01100,D02187
map01100,D02188
map01100,D04253
map01100,D07995
map01100,D00433
map01100,D00447
map01100,D00450
map01100,D00580
map01100,D00587
map01100,D00592
map01100,D00870
map01100,D00871
map01100,D01047
map01100,D01141
map01100,D01142
map01100,D01216
map01100,D01526
map01100,D01601
map01100,D01954
map01100,D02001
map01100,D02434
map01100,D02435
map01100,D02436
map01100,D02437
map01100,D02439
map01100,D02440
map01100,D02447
map01100,D02450
map01100,D02516
map01100,D02517
map01100,D02519
map01100,D02520
map01100,D05023
map01100,D05947
map01100,D05948
map01100,D05949
map01100,D05952
map01100,D05956
map01100,D05957
map01100,D07060
map01100,D07239
map01100,D07240
map01100,D07241
map01100,D08538
map01100,D08539
map01100,D08540
map01100,D08543
map01100,D12465
map01100,D12466
map01100,D00216
map01100,D11738
map01100,D11739
map01100,D00155
map01100,D11017
map01100,D11679
map01100,D00829
map01100,D07883
map01100,D00877
map01100,D09324
map01100,D09872
map01100,D09873
map01100,D09788
map01110,D00359
map01110,D00434
map01110,D00887
map01110,D00889
map01110,D00892
map01110,D00893
map01110,D01862
map01110,D01915
map01110,D02258
map01110,D03601
map01110,D03643
map01110,D03816
map01110,D07474
map01110,D07661
map01110,D07983
map01110,D08410
map01110,D08492
map01110,D10568
map01110,D11092
map01110,D11095
map01110,D10901
map01110,D11044
