pathway_id,ko_id,kegg_gene,uniprot_id,drugbank_id,drug_name
map05110,K10929,vch:VC_1456,P01556,DB02213,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02379,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02474,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02572,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02574,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02802,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB02903,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB03077,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB03235,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB03524,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB03721,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB04073,Cholera enterotoxin subunit B
map05110,K10929,vch:VC_1456,P01556,DB04210,Cholera enterotoxin subunit B
map05111,K02454,vch:VC_2732,P37093,DB04395,Type II secretion system ATPase E
map05111,K10915,vch:VC_A0523,Q9KM65,DB08364,CAI-1 autoinducer synthase
map05111,K10929,vch:VC_1456,P01556,DB02213,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02379,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02474,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02572,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02574,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02802,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB02903,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB03077,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB03235,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB03524,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB03721,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB04073,Cholera enterotoxin subunit B
map05111,K10929,vch:VC_1456,P01556,DB04210,Cholera enterotoxin subunit B
map01100,K01057,vch:VC_A0897,Q9KL51,DB03556,6-phosphogluconolactonase
map01100,K01207,vch:VC_0692,Q9KU37,DB07432,Beta-hexosaminidase
map01100,K01207,vch:VC_0692,Q9KU37,DB08704,Beta-hexosaminidase
map01100,K01243,vch:VC_2379,Q9KPI8,DB07463,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
map01110,K01057,vch:VC_A0897,Q9KL51,DB03556,6-phosphogluconolactonase
map00270,K01243,vch:VC_2379,Q9KPI8,DB07463,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
map01120,K01057,vch:VC_A0897,Q9KL51,DB03556,6-phosphogluconolactonase
map01230,K01243,vch:VC_2379,Q9KPI8,DB07463,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
map03070,K02454,vch:VC_2732,P37093,DB04395,Type II secretion system ATPase E
map01200,K01057,vch:VC_A0897,Q9KL51,DB03556,6-phosphogluconolactonase
map00520,K01207,vch:VC_0692,Q9KU37,DB07432,Beta-hexosaminidase
map00520,K01207,vch:VC_0692,Q9KU37,DB08704,Beta-hexosaminidase
map00030,K01057,vch:VC_A0897,Q9KL51,DB03556,6-phosphogluconolactonase
map01501,K01207,vch:VC_0692,Q9KU37,DB07432,Beta-hexosaminidase
map01501,K01207,vch:VC_0692,Q9KU37,DB08704,Beta-hexosaminidase
map02024,K10915,vch:VC_A0523,Q9KM65,DB08364,CAI-1 autoinducer synthase
map04122,K01011,eco:b2521,P31142,DB02761,3-mercaptopyruvate sulfurtransferase
map04122,K03635,eco:b0785,P30749,DB01942,Molybdopterin synthase catalytic subunit
map00030,K00615,eco:b2935,P27302,DB01987,Transketolase 1
map00030,K00851,eco:b3437,P46859,DB02076,Thermoresistant gluconokinase
map00030,K00851,eco:b3437,P46859,DB03909,Thermoresistant gluconokinase
map00030,K00852,eco:b3752,P0A9J6,DB01936,Ribokinase
map00030,K00852,eco:b3752,P0A9J6,DB03909,Ribokinase
map00030,K00852,eco:b3752,P0A9J6,DB04444,Ribokinase
map00030,K01619,eco:b4381,P0A6L0,DB04087,Deoxyribose-phosphate aldolase
map00030,K01624,eco:b2925,P0AB71,DB03026,Fructose-bisphosphate aldolase class 2
map00480,K00031,eco:b1136,P08200,DB01727,Isocitrate dehydrogenase [NADP]
map00480,K00031,eco:b1136,P08200,DB02190,Isocitrate dehydrogenase [NADP]
map00480,K00031,eco:b1136,P08200,DB03461,Isocitrate dehydrogenase [NADP]
map00480,K00031,eco:b1136,P08200,DB04279,Isocitrate dehydrogenase [NADP]
map00480,K00383,eco:b3500,P06715,DB00336,Glutathione reductase
map00480,K00383,eco:b3500,P06715,DB03147,Glutathione reductase
map00480,K00799,eco:b1635,P0A9D2,DB03003,Glutathione S-transferase GstA
map00480,K01256,eco:b0932,P04825,DB08506,Aminopeptidase N
map00480,K01919,eco:b2688,P0A6W9,DB04464,Glutamate--cysteine ligase
map01100,K00013,eco:b2020,P06988,DB03366,Histidinol dehydrogenase
map01100,K00013,eco:b2020,P06988,DB03811,Histidinol dehydrogenase
map01100,K00013,eco:b2020,P06988,DB04447,Histidinol dehydrogenase
map01100,K00014,eco:b3281,P15770,DB03461,Shikimate dehydrogenase (NADP(+))
map01100,K00014,eco:b3281,P15770,DB04447,Shikimate dehydrogenase (NADP(+))
map01100,K00031,eco:b1136,P08200,DB01727,Isocitrate dehydrogenase [NADP]
map01100,K00031,eco:b1136,P08200,DB02190,Isocitrate dehydrogenase [NADP]
map01100,K00031,eco:b1136,P08200,DB03461,Isocitrate dehydrogenase [NADP]
map01100,K00031,eco:b1136,P08200,DB04279,Isocitrate dehydrogenase [NADP]
map01100,K00048,eco:b2799,P0A9S1,DB02059,Lactaldehyde reductase
map01100,K00059,eco:b1093,P0AEK2,DB03461,3-oxoacyl-[acyl-carrier-protein] reductase FabG
map01100,K00075,eco:b3972,P08373,DB03147,UDP-N-acetylenolpyruvoylglucosamine reductase
map01100,K00075,eco:b3972,P08373,DB07296,UDP-N-acetylenolpyruvoylglucosamine reductase
map01100,K00097,eco:b0052,P19624,DB02609,4-hydroxythreonine-4-phosphate dehydrogenase
map01100,K00099,eco:b0173,P45568,DB02496,1-deoxy-D-xylulose 5-phosphate reductoisomerase
map01100,K00099,eco:b0173,P45568,DB02948,1-deoxy-D-xylulose 5-phosphate reductoisomerase
map01100,K00099,eco:b0173,P45568,DB03649,1-deoxy-D-xylulose 5-phosphate reductoisomerase
map01100,K00134,eco:b1779,P0A9B2,DB02263,Glyceraldehyde-3-phosphate dehydrogenase A
map01100,K00134,eco:b1779,P0A9B2,DB03814,Glyceraldehyde-3-phosphate dehydrogenase A
map01100,K00137,eco:b1444,P77674,DB04401,Gamma-aminobutyraldehyde dehydrogenase
map01100,K00163,eco:b0114,P0AFG8,DB00152,Pyruvate dehydrogenase E1 component
map01100,K00163,eco:b0114,P0AFG8,DB01987,Pyruvate dehydrogenase E1 component
map01100,K00208,eco:b1288,P0AEK4,DB01691,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB01865,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB02379,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB03030,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB03534,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB04030,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB08265,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB08604,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00208,eco:b1288,P0AEK4,DB08605,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
map01100,K00215,eco:b0031,P04036,DB03363,4-hydroxy-tetrahydrodipicolinate reductase
map01100,K00215,eco:b0031,P04036,DB04267,4-hydroxy-tetrahydrodipicolinate reductase
map01100,K00239,eco:b0723,P0AC41,DB04631,Succinate dehydrogenase flavoprotein subunit
map01100,K00239,eco:b0723,P0AC41,DB07671,Succinate dehydrogenase flavoprotein subunit
map01100,K00239,eco:b0723,P0AC41,DB08690,Succinate dehydrogenase flavoprotein subunit
map01100,K00240,eco:b0724,P07014,DB04631,Succinate dehydrogenase iron-sulfur subunit
map01100,K00240,eco:b0724,P07014,DB07671,Succinate dehydrogenase iron-sulfur subunit
map01100,K00240,eco:b0724,P07014,DB08690,Succinate dehydrogenase iron-sulfur subunit
map01100,K00241,eco:b0721,P69054,DB04631,Succinate dehydrogenase cytochrome b556 subunit
map01100,K00241,eco:b0721,P69054,DB07671,Succinate dehydrogenase cytochrome b556 subunit
map01100,K00241,eco:b0721,P69054,DB08690,Succinate dehydrogenase cytochrome b556 subunit
map01100,K00242,eco:b0722,P0AC44,DB04631,Succinate dehydrogenase hydrophobic membrane anchor subunit
map01100,K00242,eco:b0722,P0AC44,DB07671,Succinate dehydrogenase hydrophobic membrane anchor subunit
map01100,K00242,eco:b0722,P0AC44,DB08690,Succinate dehydrogenase hydrophobic membrane anchor subunit
map01100,K00244,eco:b4154,P00363,DB00730,Fumarate reductase flavoprotein subunit
map01100,K00244,eco:b4154,P00363,DB07490,Fumarate reductase flavoprotein subunit
map01100,K00244,eco:b4154,P00363,DB07918,Fumarate reductase flavoprotein subunit
map01100,K00245,eco:b4153,P0AC47,DB07490,Fumarate reductase iron-sulfur subunit
map01100,K00245,eco:b4153,P0AC47,DB07918,Fumarate reductase iron-sulfur subunit
map01100,K00246,eco:b4152,P0A8Q0,DB07490,Fumarate reductase subunit C
map01100,K00246,eco:b4152,P0A8Q0,DB07918,Fumarate reductase subunit C
map01100,K00247,eco:b4151,P0A8Q3,DB07490,Fumarate reductase subunit D
map01100,K00247,eco:b4151,P0A8Q3,DB07918,Fumarate reductase subunit D
map01100,K00254,eco:b0945,P0A7E1,DB01942,Dihydroorotate dehydrogenase (quinone)
map01100,K00254,eco:b0945,P0A7E1,DB02262,Dihydroorotate dehydrogenase (quinone)
map01100,K00254,eco:b0945,P0A7E1,DB03247,Dihydroorotate dehydrogenase (quinone)
map01100,K00275,eco:b1638,P0AFI7,DB03247,Pyridoxine/pyridoxamine 5'-phosphate oxidase
map01100,K00275,eco:b1638,P0AFI7,DB03345,Pyridoxine/pyridoxamine 5'-phosphate oxidase
map01100,K00276,eco:b1386,P46883,DB01634,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB01657,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB02178,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB02928,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB03631,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB04325,Primary amine oxidase
map01100,K00276,eco:b1386,P46883,DB04334,Primary amine oxidase
map01100,K00278,eco:b2574,P10902,DB03147,L-aspartate oxidase
map01100,K00287,eco:b0048,P0ABQ4,DB00440,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB02015,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB02363,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB03461,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB06358,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB07262,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB12769,Dihydrofolate reductase
map01100,K00287,eco:b0048,P0ABQ4,DB20422,Dihydrofolate reductase
map01100,K00297,eco:b3941,P0AEZ1,DB03147,"5,10-methylenetetrahydrofolate reductase"
map01100,K00370,eco:b1224,P09152,DB04464,Respiratory nitrate reductase 1 alpha chain
map01100,K00370,eco:b1224,P09152,DB07349,Respiratory nitrate reductase 1 alpha chain
map01100,K00371,eco:b1225,P11349,DB04464,Respiratory nitrate reductase 1 beta chain
map01100,K00371,eco:b1225,P11349,DB07349,Respiratory nitrate reductase 1 beta chain
map01100,K00374,eco:b1227,P11350,DB04464,Respiratory nitrate reductase 1 gamma chain
map01100,K00374,eco:b1227,P11350,DB07349,Respiratory nitrate reductase 1 gamma chain
map01100,K00380,eco:b2764,P38038,DB03147,Sulfite reductase [NADPH] flavoprotein alpha-component
map01100,K00380,eco:b2764,P38038,DB03461,Sulfite reductase [NADPH] flavoprotein alpha-component
map01100,K00381,eco:b2763,P17846,DB02832,Sulfite reductase [NADPH] hemoprotein beta-component
map01100,K00383,eco:b3500,P06715,DB00336,Glutathione reductase
map01100,K00383,eco:b3500,P06715,DB03147,Glutathione reductase
map01100,K00526,eco:b2235,P69924,DB09462,Ribonucleoside-diphosphate reductase 1 subunit beta
map01100,K00560,eco:b2827,P0A884,DB02031,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02223,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02256,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02301,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02467,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02752,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB02899,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03038,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03157,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03274,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03541,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03558,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03761,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03800,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB03818,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04447,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04457,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04503,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04530,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04586,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB04696,Thymidylate synthase
map01100,K00560,eco:b2827,P0A884,DB08131,Thymidylate synthase
map01100,K00604,eco:b3288,P23882,DB04464,Methionyl-tRNA formyltransferase
map01100,K00606,eco:b0134,P31057,DB03795,3-methyl-2-oxobutanoate hydroxymethyltransferase
map01100,K00609,eco:b4245,P0A786,DB05540,Aspartate carbamoyltransferase catalytic subunit
map01100,K00611,eco:b4254,P04391,DB02965,Ornithine carbamoyltransferase subunit I
map01100,K00615,eco:b2935,P27302,DB01987,Transketolase 1
map01100,K00639,eco:b3617,P0AB77,DB03915,2-amino-3-ketobutyrate coenzyme A ligase
map01100,K00647,eco:b2323,P0A953,DB01034,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB03017,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB03600,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB04302,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB04519,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB08359,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB08627,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00647,eco:b2323,P0A953,DB08628,3-oxoacyl-[acyl-carrier-protein] synthase 1
map01100,K00648,eco:b1091,P0A6R0,DB01034,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00648,eco:b1091,P0A6R0,DB01992,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00648,eco:b1091,P0A6R0,DB02039,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00648,eco:b1091,P0A6R0,DB02316,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00648,eco:b1091,P0A6R0,DB03661,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00648,eco:b1091,P0A6R0,DB04524,Beta-ketoacyl-[acyl-carrier-protein] synthase III
map01100,K00652,eco:b0776,P12998,DB03160,8-amino-7-oxononanoate synthase
map01100,K00656,eco:b0903,P09373,DB01992,Formate acetyltransferase 1
map01100,K00656,eco:b0903,P09373,DB03278,Formate acetyltransferase 1
map01100,K00656,eco:b0903,P09373,DB03940,Formate acetyltransferase 1
map01100,K00688,eco:b3417,P00490,DB02379,Maltodextrin phosphorylase
map01100,K00688,eco:b3417,P00490,DB02843,Maltodextrin phosphorylase
map01100,K00688,eco:b3417,P00490,DB03323,Maltodextrin phosphorylase
map01100,K00697,eco:b1896,P31677,DB01861,Trehalose-6-phosphate synthase
map01100,K00697,eco:b1896,P31677,DB02007,Trehalose-6-phosphate synthase
map01100,K00697,eco:b1896,P31677,DB03366,Trehalose-6-phosphate synthase
map01100,K00697,eco:b1896,P31677,DB03435,Trehalose-6-phosphate synthase
map01100,K00697,eco:b1896,P31677,DB03488,Trehalose-6-phosphate synthase
map01100,K00757,eco:b3831,P12758,DB01629,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB02256,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB02681,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB03101,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB06872,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB06873,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB07437,Uridine phosphorylase
map01100,K00757,eco:b3831,P12758,DB07439,Uridine phosphorylase
map01100,K00758,eco:b4382,P07650,DB03462,Thymidine phosphorylase
map01100,K00760,eco:b0125,P0A9M2,DB04566,Hypoxanthine phosphoribosyltransferase
map01100,K00764,eco:b2312,P0AG16,DB01972,Amidophosphoribosyltransferase
map01100,K00764,eco:b2312,P0AG16,DB03942,Amidophosphoribosyltransferase
map01100,K00764,eco:b2312,P0AG16,DB04296,Amidophosphoribosyltransferase
map01100,K00765,eco:b2019,P60757,DB01661,ATP phosphoribosyltransferase
map01100,K00769,eco:b0238,P0A9M5,DB01972,Xanthine-guanine phosphoribosyltransferase
map01100,K00769,eco:b0238,P0A9M5,DB02134,Xanthine-guanine phosphoribosyltransferase
map01100,K00769,eco:b0238,P0A9M5,DB02377,Xanthine-guanine phosphoribosyltransferase
map01100,K00769,eco:b0238,P0A9M5,DB03942,Xanthine-guanine phosphoribosyltransferase
map01100,K00790,eco:b3189,P0A749,DB00828,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
map01100,K00790,eco:b3189,P0A749,DB02435,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
map01100,K00790,eco:b3189,P0A749,DB02995,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
map01100,K00790,eco:b3189,P0A749,DB03397,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
map01100,K00791,eco:b4171,P16384,DB02270,tRNA dimethylallyltransferase
map01100,K00793,eco:b1662,P0AFU8,DB00140,Riboflavin synthase
map01100,K00795,eco:b0421,P22939,DB02270,Farnesyl diphosphate synthase
map01100,K00795,eco:b0421,P22939,DB02508,Farnesyl diphosphate synthase
map01100,K00795,eco:b0421,P22939,DB04160,Farnesyl diphosphate synthase
