Name,GeneName,UniProtID,Species,DrugIDs
CoagulationfactorXIIIAchain,F13A1,P00488,Humans,DB11300
CoagulationfactorXIIIAchain,F13A1,P00488,Humans,DB11311
CoagulationfactorXIIIAchain,F13A1,P00488,Humans,DB11571
CoagulationfactorXIIIAchain,F13A1,P00488,Humans,DB13151
"Nitricoxidesynthase,inducible",NOS2,P35228,Humans,DB08814
"Nitricoxidesynthase,inducible",NOS2,P35228,Humans,DB11327
"Nitricoxidesynthase,inducible",NOS2,P35228,Humans,DB11672
"NAD(P)transhydrogenase,mitochondrial",NNT,Q13423,Humans,DB09092
"Isocitratedehydrogenase[NAD]subunitalpha,mitochondrial",IDH3A,P50213,Humans,DB09092
"Isocitratedehydrogenase[NAD]subunitalpha,mitochondrial",IDH3A,P50213,Humans,DB13874
"Isocitratedehydrogenase[NAD]subunitalpha,mitochondrial",IDH3A,P50213,Humans,DB17097
Voltage-dependentT-typecalciumchannelsubunitalpha-1I,CACNA1I,Q9P0X4,Humans,DB00381
Voltage-dependentT-typecalciumchannelsubunitalpha-1I,CACNA1I,Q9P0X4,Humans,DB00568
Voltage-dependentT-typecalciumchannelsubunitalpha-1I,CACNA1I,Q9P0X4,Humans,DB00617
Voltage-dependentT-typecalciumchannelsubunitalpha-1I,CACNA1I,Q9P0X4,Humans,DB00909
Voltage-dependentT-typecalciumchannelsubunitalpha-1I,CACNA1I,Q9P0X4,Humans,DB04841
AdenosinereceptorA1,ADORA1,P30542,Humans,DB00193
AdenosinereceptorA1,ADORA1,P30542,Humans,DB00201
AdenosinereceptorA1,ADORA1,P30542,Humans,DB00277
AdenosinereceptorA1,ADORA1,P30542,Humans,DB00640
AdenosinereceptorA1,ADORA1,P30542,Humans,DB00651
AdenosinereceptorA1,ADORA1,P30542,Humans,DB01223
AdenosinereceptorA1,ADORA1,P30542,Humans,DB01303
AdenosinereceptorA1,ADORA1,P30542,Humans,DB04932
AdenosinereceptorA1,ADORA1,P30542,Humans,DB07776
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB00619
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB01254
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB04868
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB06616
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB06626
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB08896
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB08901
Tyrosine-proteinkinaseABL1,ABL1,P00519,Humans,DB12597
