GeneName,UniProtID,PDB_IDs,AlphaFold
NOS2,P35228,1NSI;2LL6;2NSI,
NNT,Q13423,1DJL;1PT9;1U31,
IDH3A,P50213,5GRE;5GRF;5GRH,
CACNA1I,Q9P0X4,7WLI;7WLJ;7WLK,
ADORA1,P30542,5N2S;5UEN;6D9H,
ABL1,P00519,1AB2;1AWO;1BBZ,
PTGS1,P23219,6Y3C,
DRD1,P21728,7CKW;7CKX;7CKY,
FLT4,P35916,4BSJ;4BSK,
SCNN1B,P51168,6BQN;6WTH;9BLR,
TUBB1,Q9H4B7,,AF-Q9H4B7-F1-model_v4
NDUFV3,P56181,5XTB;5XTD;5XTH,
FLT1,P17948,1FLT;1QSV;1QSZ,
SLC7A11,Q9UPY5,7CCS;7EPZ;7P9U,
INSR,P06213,1GAG;1I44;1IR3,
RAF1,P04049,1C1Y;1FAQ;1FAR,
PDXK,O00764,2AJP;2F7K;2YXT,
EDNRB,P24530,5GLH;5GLI;5X93,
CHRM3,P20309,2CSA;8E9W;8E9Y,
PKLR,P30613,2VGB;2VGF;2VGG,
SLC12A5,Q9H2X9,6M23;7D8Z,
F2,P00734,1A2C;1A3B;1A3E,
ALAD,P13716,1E51;1PV8;5HMS,
HSD3B1,P14060,,AF-P14060-F1-model_v4
GLRB,P48167,5BKF;5BKG;7KUY,
MMP9,P14780,1GKC;1GKD;1ITV,
HSD3B2,P26439,,AF-P26439-F1-model_v4
CNR1,P21554,1LVQ;1LVR;2B0Y,
AGTR1,P30556,4YAY;4ZUD;6DO1,
PTGER1,P34995,9M1H,
NOS1,P29475,4D1N;4UCH;4UH5,
LDHB,P07195,1I0Z;1T2F;7DBJ,
ACAT1,P24752,2F2S;2IB7;2IB8,
PPARA,Q07869,1I7G;1K7L;1KKQ,
HPRT1,P00492,1BZY;1D6N;1HMP,
RXRB,P28702,1H9U;1UHL;5HJP,
TPH2,Q8IWU9,4V06;7QRI;7WIY,
CKB,P12277,3B6R;3DRB;3DRE,
HTR4,Q13639,5EM9;7XT8;7XT9,
FTL,P02792,2FFX;2FG4;2FG8,
KCNH2,Q12809,1BYW;1UJL;2L0W,
TOP1MT,Q969P6,,AF-Q969P6-F1-model_v4
CHRM1,P11229,5CXV;6OIJ;6WJC,
SLC5A6,Q9Y289,,AF-Q9Y289-F1-model_v4
CNR2,P34972,2KI9;5ZTY;6KPC,
CYSLTR2,Q9NS75,9IXX;9JH5;9JH6,
AMD1,P17707,1I72;1I79;1I7B,
SOAT1,P35610,6L47;6L48;6P2J,
P2RY12,Q9H244,4NTJ;4PXZ;4PY0,
HRH2,P25021,7UL3;8POK;8YN3,
POLB,P06746,1BPX;1BPY;1BPZ,
PTGIS,Q16647,2IAG;3B6H,
SLC18A2,Q05940,8JSW;8JSX;8JT5,
ABCA1,O95477,5XJY;7ROQ;7TBW,
TPH1,P17752,1MLW;3HF6;3HF8,
ESR1,P03372,1A52;1ERE;1ERR,
HBA1,P69905,1A00;1A01;1A0U,
AR,P10275,1E3G;1GS4;1T5Z,
ALDH2,P05091,1CW3;1NZW;1NZX,
LHCGR,P22888,7FIG;7FIH;7FII,
SLC7A3,Q8WY07,,AF-Q8WY07-F1-model_v4
DBH,P09172,4ZEL,
SCN1A,P35498,7DTD,
TUBB,P07437,3QNZ;3QO0;5N5N,
RARG,P13631,1EXA;1EXX;1FCX,
DRD5,P21918,8IRV,
HRH4,Q9H3N8,7YFC;7YFD;8HN8,
FLT3,P36888,1RJB;3QS7;3QS9,
ALDH5A1,P51649,2W8N;2W8O;2W8P,
TLR7,Q9NYK1,7CYN,
SIGMAR1,Q99720,5HK1;5HK2;6DJZ,
TPK1,Q9H3S4,3S4Y;9HJC,
OGDH,Q02218,3ERY;7WGR;8I0K,
AVPR1A,P37288,1YTV,
SLC23A1,Q9UHI7,8JEW;8JEZ;8JF0,
CKMT1A,P12532,1QK1;9B04;9B05,
ADRB1,P08588,2LSQ;7BTS;7BU6,
SDHA,P31040,6VAX;8DYD;8DYE,
SCN10A,Q9Y5Y9,7WE4;7WEL;7WFR,
CPT2,P23786,,AF-P23786-F1-model_v4
PDE5A,O76074,1RKP;1T9R;1T9S,
GSS,P48637,2HGS;8FBZ,
SCNN1A,P37088,2M3O;6BQN;6WTH,
SCN11A,Q9UI33,,AF-Q9UI33-F1-model_v4
ALDH3B2,P48448,,AF-P48448-F1-model_v4
MT-ND3,P03897,5XTC;5XTD;9CWT,
SCN5A,Q14524,2KBI;2L53;4DCK,
LIG1,P18858,1X9N;5YY9;6P09,
GNRHR,P30968,7BR3,
PDGFRB,P09619,1GQ5;1H9O;1SHA,
RARB,P10826,1HRA;1XAP;4DM6,
ABCC8,Q09428,6C3O;6C3P;7S5V,
SERPINA6,P08185,2VDX;2VDY;4BB2,
KCNK2,O95069,4TWK,
PLG,P00747,1B2I;1BML;1BUI,
PPARG,P37231,1FM6;1FM9;1I7I,
F10,P00742,1C5M;1EZQ;1F0R,
GABBR1,Q9UBS5,4MQE;4MQF;4MR7,
ATP2C1,P98194,7YAG;7YAH;7YAI,
NQO2,P16083,1QR2;1SG0;1XI2,
ACE,P12821,1O86;1O8A;1UZE,
ADH1A,P07327,1HSO;1U3T,
FXYD2,P54710,2MKV;7E1Z;7E20,
MTTP,P55157,8EOJ,
SLC1A5,Q15758,5LLM;5LLU;5LM4,
LPL,P06858,6E7K;6OAU;6OAZ,
ADORA2B,P29275,7XY6;7XY7;8HDO,
BCL2,P10415,1G5M;1GJH;1YSW,
CHRM5,P08912,6OL9,
ALOX5,P09917,3O8Y;3V92;3V98,
SLC6A1,P30531,7SK2;7Y7V;7Y7W,
PNP,P00491,1M73;1PF7;1PWY,
TYR,P14679,7RK7,
ABAT,P80404,,AF-P80404-F1-model_v4
PRKAB1,Q9Y478,4CFE;4CFF;4ZHX,
