GeneSymbol,GeneID,DiseaseName,DiseaseID
A,50518,Dermatitis,MESH:D003872
A,50518,Diabetes Mellitus,MESH:D003920
A,50518,"Diabetes Mellitus, Type 2",MESH:D003924
A,50518,Diabetic Nephropathies,MESH:D003928
A,50518,Edema,MESH:D004487
A,50518,Failure to Thrive,MESH:D005183
A,50518,Fibrosis,MESH:D005355
A,50518,Furunculosis,MESH:D005667
A,50518,Glucose Intolerance,MESH:D018149
A,50518,Hepatic Veno-Occlusive Disease,MESH:D006504
A,50518,Hyperglycemia,MESH:D006943
A,50518,Hyperlipidemias,MESH:D006949
A,50518,Hyperplasia,MESH:D006965
A,50518,Keratosis,MESH:D007642
A,50518,Liver Neoplasms,MESH:D008113
A,50518,Neoplasms,MESH:D009369
A,50518,Obesity,MESH:D009765
A,50518,Pigmentation Disorders,MESH:D010859
A,50518,Prenatal Exposure Delayed Effects,MESH:D011297
A,50518,Weight Gain,MESH:D015430
A1BG,1,Hepatomegaly,MESH:D006529
A1BG,1,Schizophrenia,MESH:D012559
A2M,2,Acute Kidney Injury,MESH:D058186
A2M,2,"Adenoma, Liver Cell",MESH:D018248
A2M,2,Alzheimer Disease,MESH:D000544
A2M,2,"Carcinoma, Hepatocellular",MESH:D006528
A2M,2,Colonic Neoplasms,MESH:D003110
A2M,2,Hepatolenticular Degeneration,MESH:D006527
A2M,2,Liver Cirrhosis,MESH:D008103
A2M,2,"Liver Cirrhosis, Experimental",MESH:D008106
A2M,2,Lung Diseases,MESH:D008171
A2M,2,Lung Neoplasms,MESH:D008175
A2M,2,Nephrotic Syndrome,MESH:D009404
A2ML1,144568,Otitis Media,MESH:D010033
A4GALT,53947,Burkitt Lymphoma,MESH:D002051
AAAS,8086,Achalasia Addisonianism Alacrimia syndrome,MESH:C536008
AAAS,8086,Prostatic Neoplasms,MESH:D011471
AADAC,13,"Liver Cirrhosis, Experimental",MESH:D008106
AADAT,51166,"Carcinoma, Hepatocellular",MESH:D006528
AADAT,51166,"Liver Cirrhosis, Experimental",MESH:D008106
AAGAB,79719,"Keratoderma, Palmoplantar",MESH:D007645
AAGAB,79719,Keratosis palmoplantaris papulosa,MESH:C536161
AANAT,15,"Sleep Disorders, Circadian Rhythm",MESH:D020178
AARS1,16,"Charcot-Marie-Tooth Disease, Axonal, Type 2n",MESH:C567653
AARS1,16,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 29,OMIM:616339
AARS2,57505,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8,OMIM:614096
AARS2,57505,"LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE",OMIM:615889
AASS,10157,Chemical and Drug Induced Liver Injury,MESH:D056486
AASS,10157,Hyperlysinemias,MESH:D020167
ABAT,18,Autistic Disorder,MESH:D001321
ABAT,18,Gamma aminobutyric acid transaminase deficiency,MESH:C535407
ABAT,18,Gastroesophageal Reflux,MESH:D005764
ABAT,18,Genetic Predisposition to Disease,MESH:D020022
ABAT,18,Lethargy,MESH:D053609
ABAT,18,"Liver Cirrhosis, Experimental",MESH:D008106
ABAT,18,Muscle Hypotonia,MESH:D009123
ABAT,18,Psychomotor Disorders,MESH:D011596
ABAT,18,"Reflex, Abnormal",MESH:D012021
ABAT,18,Seizures,MESH:D012640
ABCA1,19,Atherosclerosis,MESH:D050197
ABCA1,19,Colorectal Neoplasms,MESH:D015179
ABCA1,19,"Hdl Deficiency, Type 2",MESH:C538394
ABCA1,19,Hypercholesterolemia,MESH:D006937
ABCA1,19,Hyperlipoproteinemia Type II,MESH:D006938
ABCA1,19,Hypoalphalipoproteinemias,MESH:D052456
ABCA1,19,"Kidney Failure, Chronic",MESH:D007676
ABCA1,19,"Leukemia, Promyelocytic, Acute",MESH:D015473
ABCA1,19,Peripheral Nervous System Diseases,MESH:D010523
