uniprot_id,Reviewed,Gene Names,Organism,Length,pathogen,disease_name
P04977,reviewed,ptxA BP3783,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),269,bordetella_pertussis,Pertussis
P0DKX7,reviewed,cya cyaA BP0760,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),1706,bordetella_pertussis,Pertussis
P14283,reviewed,prn omp69A BP1054,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),910,bordetella_pertussis,Pertussis
P16575,reviewed,bvgS BP1877,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),1238,bordetella_pertussis,Pertussis
Q7VYU0,reviewed,fluC crcB BP1217,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),128,bordetella_pertussis,Pertussis
P04978,reviewed,ptxB BP3784,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),226,bordetella_pertussis,Pertussis
P0A3I5,reviewed,cyaC hlyC BP0758,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),185,bordetella_pertussis,Pertussis
P35077,reviewed,fhaC BP1884,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),584,bordetella_pertussis,Pertussis
P41399,reviewed,asd BP1484,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),376,bordetella_pertussis,Pertussis
Q45338,reviewed,coaX baf BP0097,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),267,bordetella_pertussis,Pertussis
Q45340,reviewed,brkA BP3494,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),1010,bordetella_pertussis,Pertussis
Q7TTP0,reviewed,hmp fhp BP2212,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),402,bordetella_pertussis,Pertussis
Q7VT27,reviewed,glmU BP3730,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),457,bordetella_pertussis,Pertussis
Q7VUH1,reviewed,prs prsA BP3125,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),310,bordetella_pertussis,Pertussis
Q7VW76,reviewed,pyrG BP2389,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),550,bordetella_pertussis,Pertussis
Q7VWK8,reviewed,rlmN BP2201,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),382,bordetella_pertussis,Pertussis
Q7VXX8,reviewed,BP1593,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),213,bordetella_pertussis,Pertussis
Q7VYK4,reviewed,pdxK BP1321,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),283,bordetella_pertussis,Pertussis
Q7VZ77,reviewed,cysG BP1055,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),473,bordetella_pertussis,Pertussis
Q7VZU4,reviewed,ilvC BP0791,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),338,bordetella_pertussis,Pertussis
P04979,reviewed,ptxC BP3787,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),227,bordetella_pertussis,Pertussis
P04981,reviewed,ptxE BP3786,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),133,bordetella_pertussis,Pertussis
P0A323,reviewed,katA BP3852,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),482,bordetella_pertussis,Pertussis
P0A339,reviewed,groES cpn10 groS BP3496,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),95,bordetella_pertussis,Pertussis
P0A3R5,reviewed,ptxD BP3785,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),152,bordetella_pertussis,Pertussis
P0A448,reviewed,recA BP2546,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),353,bordetella_pertussis,Pertussis
P0A4E5,reviewed,rpoA BP3642,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),328,bordetella_pertussis,Pertussis
P0A4H2,reviewed,bvgA BP1878,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),209,bordetella_pertussis,Pertussis
P0A4U8,reviewed,dapD BP1764,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),273,bordetella_pertussis,Pertussis
P0DKX5,reviewed,cyaB BP0761,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),712,bordetella_pertussis,Pertussis
P0DKX8,reviewed,adk BP2769,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),218,bordetella_pertussis,Pertussis
P12421,reviewed,aroA BP0948,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),442,bordetella_pertussis,Pertussis
P48210,reviewed,groEL cpn60 groL mopA BP3495,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),547,bordetella_pertussis,Pertussis
P53642,reviewed,sodA BP0193,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),211,bordetella_pertussis,Pertussis
P56865,reviewed,lepA BP2433,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),597,bordetella_pertussis,Pertussis
P61034,reviewed,lnt BP1037,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),547,bordetella_pertussis,Pertussis
P65622,reviewed,yidC BP0495,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),563,bordetella_pertussis,Pertussis
P67678,reviewed,rsgA BP2689,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),300,bordetella_pertussis,Pertussis
P81549,reviewed,bfrD vir90 BP0856,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),743,bordetella_pertussis,Pertussis
Q04064,reviewed,BP0840,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),385,bordetella_pertussis,Pertussis
Q7TT91,reviewed,tuf1 BP0007; tuf2 BP3611,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),396,bordetella_pertussis,Pertussis
Q7U358,reviewed,cca BP3059,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),364,bordetella_pertussis,Pertussis
Q7U359,reviewed,mnmA BP2893,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),371,bordetella_pertussis,Pertussis
Q7U363,reviewed,truA BP1486,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),270,bordetella_pertussis,Pertussis
Q7U365,reviewed,hprK BP0693,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),308,bordetella_pertussis,Pertussis
Q7U366,reviewed,miaA BP0243,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),313,bordetella_pertussis,Pertussis
Q7VRX7,reviewed,ligA BP3560,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),696,bordetella_pertussis,Pertussis
Q7VRX8,reviewed,rnhA BP3211,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),155,bordetella_pertussis,Pertussis
Q7VRY0,reviewed,lexA BP1794,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),216,bordetella_pertussis,Pertussis
Q7VRY3,reviewed,hemA BP0677,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),424,bordetella_pertussis,Pertussis
Q7VRZ3,reviewed,glmS BP0666,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),610,bordetella_pertussis,Pertussis
Q7VS43,reviewed,gpmA gpm BP0607,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),250,bordetella_pertussis,Pertussis
Q7VS47,reviewed,gpsA BP0603,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),351,bordetella_pertussis,Pertussis
Q7VS76,reviewed,nadX1 BP0567,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),258,bordetella_pertussis,Pertussis
Q7VS95,reviewed,rimO BP0545,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),439,bordetella_pertussis,Pertussis
Q7VSA0,reviewed,rocD BP0539,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),411,bordetella_pertussis,Pertussis
Q7VSE0,reviewed,dnaA BP0491,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),469,bordetella_pertussis,Pertussis
Q7VSE8,reviewed,msrQ BP0480,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),206,bordetella_pertussis,Pertussis
Q7VSF4,reviewed,ribB BP0471,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),230,bordetella_pertussis,Pertussis
Q7VSH3,reviewed,argD2 BP0451,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),396,bordetella_pertussis,Pertussis
Q7VSM2,reviewed,argB BP0383,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),300,bordetella_pertussis,Pertussis
Q7VSN4,reviewed,pyrE BP0370,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),224,bordetella_pertussis,Pertussis
Q7VSR5,reviewed,mnmE trmE BP3863,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),450,bordetella_pertussis,Pertussis
Q7VSU7,reviewed,glpK BP3825,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),508,bordetella_pertussis,Pertussis
Q7VSV1,reviewed,panC BP3821,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),280,bordetella_pertussis,Pertussis
Q7VSV5,reviewed,coaE BP3817,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),214,bordetella_pertussis,Pertussis
Q7VSW3,reviewed,argJ BP3807,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),408,bordetella_pertussis,Pertussis
Q7VSX3,reviewed,ptlH BP3796,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),339,bordetella_pertussis,Pertussis
Q7VSX5,reviewed,ptlF BP3794,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),273,bordetella_pertussis,Pertussis
Q7VSX6,reviewed,ptlE BP3793,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),233,bordetella_pertussis,Pertussis
Q7VSX7,reviewed,ptlI BP3792,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),61,bordetella_pertussis,Pertussis
Q7VSX8,reviewed,ptlD BP3791,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),463,bordetella_pertussis,Pertussis
Q7VSX9,reviewed,ptlC BP3790,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),824,bordetella_pertussis,Pertussis
Q7VSY5,reviewed,hisI BP3774,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),134,bordetella_pertussis,Pertussis
Q7VSY6,reviewed,hisF BP3773,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),269,bordetella_pertussis,Pertussis
Q7VSY8,reviewed,hisH BP3771,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),225,bordetella_pertussis,Pertussis
Q7VSZ1,reviewed,hisD BP3768,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),434,bordetella_pertussis,Pertussis
Q7VSZ3,reviewed,murA murZ BP3766,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),422,bordetella_pertussis,Pertussis
Q7VT61,reviewed,trmB BP3692,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),254,bordetella_pertussis,Pertussis
