pathway_id,ko_id,kegg_gene,uniprot_id
map05110,K08604,vch:VC_A0865,P24153
map05110,K10928,vch:VC_1457,P01555
map05110,K10929,vch:VC_1456,P01556
map05110,K10930,vch:VC_0828,Q60153
map05110,K10931,vch:VC_0829,P23476
map05110,K10932,vch:VC_0831,P29481
map05110,K10933,vch:VC_0833,P29491
map05110,K10934,vch:VC_0836,P0C6C9
map05110,K10935,vch:VC_0837,P0C6Q5
map05110,K10948,vch:VC_A0219,P09545
map05110,K10952,vch:VC_1459,P38441
map05110,K10953,vch:VC_1451,Q9KS12
map05110,K10954,vch:VC_1458,P38442
map05110,K21712,vch:VC_A0811,Q9KLD5
map05110,K23550,vch:VC_1784,P0C6E9
map05111,K00640,vch:VC_0919,Q9KTI3
map05111,K00640,vch:VC_0923,Q9KTH9
map05111,K00640,vch:VC_2649,Q9KNT2
map05111,K01791,vch:VC_0917,Q9KTI5
map05111,K02405,vch:VC_2066,Q9KQD4
map05111,K02452,vch:VC_2734,P45777
map05111,K02454,vch:VC_2732,P37093
map05111,K02455,vch:VC_2731,P45780
map05111,K02456,vch:VC_2730,P45773
map05111,K02457,vch:VC_2729,P45774
map05111,K02458,vch:VC_2728,P45775
map05111,K02459,vch:VC_2727,P45776
map05111,K02460,vch:VC_2726,P45781
map05111,K02461,vch:VC_2725,P45782
map05111,K02462,vch:VC_2724,P41851
map05111,K02463,vch:VC_2723,P45784
map05111,K02472,vch:VC_0918,Q9KTI4
map05111,K02777,vch:VC_0964,Q9KTD8
map05111,K02779,vch:VC_2013,Q9KQI5
map05111,K03087,vch:VC_0534,O51804
map05111,K03092,vch:VC_2529,Q9KP49
map05111,K03557,vch:VC_0290,P64127
map05111,K03563,vch:VC_0548,Q9KUH3
map05111,K03606,vch:VC_0934,Q9KTG8
map05111,K03666,vch:VC_0347,Q9KV11
map05111,K05851,vch:VC_0122,Q9KVL9
map05111,K07173,vch:VC_0557,Q9KUG4
map05111,K07181,vch:VC_0137,Q9KVK6
map05111,K07678,vch:VC_2453,Q9KPC0
map05111,K07689,vch:VC_1213,Q9KSP3
map05111,K08604,vch:VC_A0865,P24153
map05111,K08720,vch:VC_0633,P0C6Q6
map05111,K10909,vch:VC_A0736,Q9KLK7
map05111,K10910,vch:VC_A0737,Q9KLK6
map05111,K10911,vch:VC_1022,Q9KT83
map05111,K10912,vch:VC_1021,Q9KT84
map05111,K10914,vch:VC_2614,Q9KNW6
map05111,K10915,vch:VC_A0523,Q9KM65
map05111,K10916,vch:VC_A0522,Q9KM66
map05111,K10917,vch:VC_2647,H9L4T0
map05111,K10918,vch:VC_1049,Q9KT56
map05111,K10919,vch:VC_0827,P29489
map05111,K10920,vch:VC_0826,P29485
map05111,K10921,vch:VC_0984,P15795
map05111,K10922,vch:VC_0983,P24003
map05111,K10923,vch:VC_0838,P0C6D6
map05111,K10924,vch:VC_0409,H9L4Q5
map05111,K10925,vch:VC_0408,Q9KUV4
map05111,K10926,vch:VC_0410,Q9KUV3
map05111,K10927,vch:VC_0411,Q9KUV2
map05111,K10928,vch:VC_1457,P01555
map05111,K10929,vch:VC_1456,P01556
map05111,K10930,vch:VC_0828,Q60153
map05111,K10931,vch:VC_0829,P23476
map05111,K10932,vch:VC_0831,P29481
map05111,K10933,vch:VC_0833,P29491
map05111,K10934,vch:VC_0836,P0C6C9
map05111,K10935,vch:VC_0837,P0C6Q5
map05111,K10936,vch:VC_0844,H9L4S5
map05111,K10937,vch:VC_0840,Q9KTQ7
map05111,K10938,vch:VC_0841,Q9KTQ6
map05111,K10939,vch:VC_0845,P0C6F0
map05111,K10940,vch:VC_1854,Q9KQZ3
map05111,K10941,vch:VC_2137,Q9KQ66
map05111,K10942,vch:VC_2136,H9L4P6
